Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,R-Stars,BTRG,10,16,Train
Team1,R-Stars,BTRG,16,11,Dust2
Team1,R-Stars,BTRG,9,16,Mirage
Team1,R-Stars,DMC,16,11,Dust2
Team1,R-Stars,EHOME,16,13,Overpass
Team1,R-Stars,Lynn Vision,13,16,Dust2
Team1,R-Stars,Lynn Vision,16,12,Inferno
Team1,R-Stars,Lynn Vision,16,13,Mirage
Team1,R-Stars,Lynn Vision,16,7,Dust2
Team1,R-Stars,Lynn Vision,5,16,Inferno
Team1,R-Stars,Lynn Vision,5,16,Train
Team1,R-Stars,Lynn Vision,9,16,Inferno
Team1,R-Stars,TYLOO,15,19,Dust2
Team1,R-Stars,TYLOO,16,10,Train
Team1,R-Stars,TYLOO,2,16,Dust2
Team1,R-Stars,Wubbalubbadubdub,16,7,Mirage
Team2,R-Stars,EHOME,10,16,Dust2
Team2,R-Stars,EHOME,16,8,Train
Team2,R-Stars,Lynn Vision,10,16,Dust2
Team2,R-Stars,Lynn Vision,16,6,Dust2
Team2,R-Stars,Macau Legend,16,7,Dust2
Team2,R-Stars,Mazaalai,16,7,Inferno
Team2,R-Stars,Mazaalai,16,8,Dust2
Team2,R-Stars,TYLOO,1,16,Inferno
Team2,R-Stars,Wubbalubbadubdub,16,9,Dust2
Team2,R-Stars,ahq,16,4,Dust2
