Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,RUFUS,Alma,16,12,Overpass
Team1,RUFUS,EOX,5,16,Overpass
Team1,RUFUS,Falkol,16,12,Dust2
Team1,RUFUS,Falkol,16,13,Train
Team1,RUFUS,Isurus,10,16,Mirage
Team1,RUFUS,RED Canids,16,12,Dust2
Team1,RUFUS,Santos,9,16,Inferno
Team1,RUFUS,paiN,14,16,Nuke
Team2,RUFUS,Alma,16,6,Inferno
Team2,RUFUS,Falkol,16,2,Vertigo
Team2,RUFUS,Falkol,16,5,Overpass
Team2,RUFUS,Falkol,16,7,Train
Team2,RUFUS,Falkol,16,8,Inferno
Team2,RUFUS,Isurus,12,16,Overpass
Team2,RUFUS,paiN,10,16,Overpass
