Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Rap Gang,ATK,6,16,Dust2
Team1,Rap Gang,Bushido Boyz,16,11,Nuke
Team1,Rap Gang,Bushido Boyz,16,13,Overpass
Team1,Rap Gang,Bushido Boyz,16,7,Inferno
Team1,Rap Gang,Monstars,16,14,Mirage
Team1,Rap Gang,Mythic,16,10,Overpass
Team1,Rap Gang,Mythic,19,16,Mirage
Team1,Rap Gang,New Identity,8,16,Mirage
Team1,Rap Gang,RBG,16,11,Mirage
Team1,Rap Gang,RBG,7,16,Overpass
Team2,Rap Gang,ATK,10,16,Train
Team2,Rap Gang,Asuna's Anime Aimers,13,16,Mirage
Team2,Rap Gang,Big Frames,16,6,Inferno
Team2,Rap Gang,Bushido Boyz,14,16,Inferno
Team2,Rap Gang,Bushido Boyz,16,4,Mirage
Team2,Rap Gang,Just Swing,17,19,Mirage
Team2,Rap Gang,LiViD,16,7,Nuke
Team2,Rap Gang,New Identity,14,16,Dust2
