Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Recon 5,Bad News Bears,8,16,Nuke
Team1,Recon 5,Brazen,16,14,Dust2
Team1,Recon 5,Brazen,16,14,Train
Team1,Recon 5,Brazen,9,16,Nuke
Team1,Recon 5,Divine,16,1,Inferno
Team1,Recon 5,Envy,6,16,Train
Team1,Recon 5,Faint,16,8,Inferno
Team1,Recon 5,Infinity,16,12,Train
Team1,Recon 5,LiViD,7,16,Inferno
Team1,Recon 5,Monstars,16,9,Nuke
Team1,Recon 5,Morning Light,19,17,Inferno
Team1,Recon 5,Mythic,12,16,Vertigo
Team1,Recon 5,Mythic,16,11,Dust2
Team1,Recon 5,Mythic,16,14,Vertigo
Team1,Recon 5,Orgless,6,16,Inferno
Team1,Recon 5,Orgless,9,16,Mirage
Team1,Recon 5,Polar Ace,16,11,Dust2
Team1,Recon 5,Rugratz,16,14,Vertigo
Team1,Recon 5,Rugratz,6,16,Train
Team1,Recon 5,Swedish Canadians,16,12,Dust2
Team1,Recon 5,Thunder Logic,16,12,Mirage
Team1,Recon 5,Thunder Logic,16,12,Nuke
Team1,Recon 5,Triumph,16,14,Nuke
Team1,Recon 5,Under 21,16,8,Vertigo
Team1,Recon 5,Yeah,16,11,Inferno
Team1,Recon 5,Yeah,16,8,Nuke
Team1,Recon 5,Yeah,5,16,Dust2
Team2,Recon 5,Big Frames,16,6,Nuke
Team2,Recon 5,Faint,16,3,Nuke
Team2,Recon 5,Faint,16,4,Inferno
Team2,Recon 5,Monstars,16,6,Mirage
Team2,Recon 5,Monstars,16,9,Inferno
Team2,Recon 5,New England Whalers,16,5,Nuke
Team2,Recon 5,Oceanus,16,5,Nuke
Team2,Recon 5,Oceanus,16,8,Vertigo
Team2,Recon 5,Rugratz,12,16,Overpass
Team2,Recon 5,Rugratz,13,16,Overpass
Team2,Recon 5,Rugratz,16,8,Nuke
Team2,Recon 5,TeamOne,11,16,Nuke
Team2,Recon 5,Under 21,14,16,Nuke
Team2,Recon 5,bloo,16,9,Inferno
