Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Riot Squad,ATK,8,16,Vertigo
Team1,Riot Squad,ATK,9,16,Mirage
Team1,Riot Squad,HAVU,19,17,Dust2
Team1,Riot Squad,INTZ,11,16,Inferno
Team1,Riot Squad,INTZ,19,16,Inferno
Team1,Riot Squad,INTZ,4,16,Nuke
Team1,Riot Squad,INTZ,9,16,Train
Team1,Riot Squad,Just For Fun,16,10,Inferno
Team1,Riot Squad,Just For Fun,16,12,Mirage
Team1,Riot Squad,Lazarus,16,11,Inferno
Team1,Riot Squad,Lazarus,9,16,Vertigo
Team1,Riot Squad,Mythic,16,10,Inferno
Team1,Riot Squad,Mythic,16,11,Mirage
Team1,Riot Squad,New Identity,14,16,Mirage
Team1,Riot Squad,New Identity,9,16,Train
Team1,Riot Squad,Rap Gang,16,13,Dust2
Team1,Riot Squad,Rugratz,11,16,Train
Team1,Riot Squad,Rugratz,16,10,Dust2
Team1,Riot Squad,Rugratz,16,12,Mirage
Team1,Riot Squad,Rugratz,16,13,Nuke
Team1,Riot Squad,Saskatoon Warriors,16,6,Dust2
Team1,Riot Squad,Spirit,16,10,Inferno
Team1,Riot Squad,Spirit,4,16,Nuke
Team1,Riot Squad,The Quest,10,16,Inferno
Team1,Riot Squad,The Quest,16,7,Inferno
Team1,Riot Squad,forZe,10,16,Inferno
Team2,Riot Squad,ATK,12,16,Overpass
Team2,Riot Squad,ATK,13,16,Nuke
Team2,Riot Squad,ATK,16,6,Train
Team2,Riot Squad,ATK,16,8,Inferno
Team2,Riot Squad,Big Frames,16,2,Train
Team2,Riot Squad,Bushido Boyz,16,4,Train
Team2,Riot Squad,Bushido Boyz,16,5,Mirage
Team2,Riot Squad,Bushido Boyz,16,6,Inferno
Team2,Riot Squad,Divine,16,9,Inferno
Team2,Riot Squad,INTZ,14,16,Mirage
Team2,Riot Squad,INTZ,14,16,Mirage
Team2,Riot Squad,LiViD,16,7,Nuke
Team2,Riot Squad,Lowkey,16,3,Train
Team2,Riot Squad,MAC-51,16,2,Inferno
Team2,Riot Squad,MIBR,10,16,Train
Team2,Riot Squad,Rugratz,16,3,Nuke
Team2,Riot Squad,Rugratz,16,9,Nuke
Team2,Riot Squad,Saskatoon Warriors,16,5,Overpass
Team2,Riot Squad,Singularity,16,7,Inferno
Team2,Riot Squad,Spirit,13,16,Mirage
Team2,Riot Squad,The Quest,12,16,Mirage
Team2,Riot Squad,The Quest,16,7,Dust2
Team2,Riot Squad,The Quest,16,8,Dust2
Team2,Riot Squad,ViCi,14,16,Inferno
Team2,Riot Squad,ex-Epsilon,14,16,Train
Team2,Riot Squad,forZe,13,16,Nuke
