Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Rooster,Airborne,11,16,Inferno
Team1,Rooster,Bantz,16,11,Nuke
Team1,Rooster,Bizarre,16,7,Mirage
Team1,Rooster,Chiefs,11,16,Inferno
Team1,Rooster,Chiefs,16,10,Inferno
Team1,Rooster,Chiefs,16,10,Nuke
Team1,Rooster,Chiefs,16,12,Inferno
Team1,Rooster,Chiefs,7,16,Inferno
Team1,Rooster,Eimi Fukada FC,14,16,Inferno
Team1,Rooster,Ground Zero,12,16,Inferno
Team1,Rooster,Ground Zero,12,16,Vertigo
Team1,Rooster,Ground Zero,16,13,Inferno
Team1,Rooster,Ground Zero,16,9,Mirage
Team1,Rooster,Paradox,16,13,Inferno
Team1,Rooster,Skyfire,16,1,Overpass
Team1,Rooster,Skyfire,16,13,Inferno
Team1,Rooster,Skyfire,16,14,Mirage
Team1,Rooster,VERTEX,16,13,Overpass
Team1,Rooster,i sleep,16,10,Dust2
Team1,Rooster,i sleep,16,13,Inferno
Team1,Rooster,i sleep,16,9,Mirage
Team1,Rooster,rewound,5,16,Inferno
Team2,Rooster,Airborne,14,16,Nuke
Team2,Rooster,Bizarre,16,5,Nuke
Team2,Rooster,Chiefs,19,22,Inferno
Team2,Rooster,Downfall,13,16,Dust2
Team2,Rooster,Eimi Fukada FC,16,2,Mirage
Team2,Rooster,Fanta,16,9,Mirage
Team2,Rooster,Ground Zero,16,19,Dust2
Team2,Rooster,Incept,16,3,Overpass
Team2,Rooster,Overt,16,7,Overpass
Team2,Rooster,SYF,13,16,Inferno
Team2,Rooster,Skyfire,16,3,Nuke
