Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SG.pro,Cerberus,16,14,Overpass
Team1,SG.pro,Endpoint,5,16,Train
Team1,SG.pro,Gambit Youngsters,16,19,Dust2
Team1,SG.pro,Gambit Youngsters,7,16,Train
Team1,SG.pro,PACT,16,10,Train
Team1,SG.pro,PACT,16,13,Nuke
Team1,SG.pro,SKADE,6,16,Mirage
Team1,SG.pro,SKADE,9,16,Train
Team2,SG.pro,BlinkDagger,10,16,Train
Team2,SG.pro,Endpoint,10,16,Vertigo
Team2,SG.pro,Nemiga,1,16,Vertigo
Team2,SG.pro,NorBant,14,16,Mirage
Team2,SG.pro,SKADE,16,3,Overpass
Team2,SG.pro,dopeclvb,16,6,Mirage
