Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SJ,AGF,16,14,Inferno
Team1,SJ,AGO,16,11,Train
Team1,SJ,AGO,6,16,Dust2
Team1,SJ,ALTERNATE aTTaX,9,16,Inferno
Team1,SJ,Ambush,17,19,Overpass
Team1,SJ,Ambush,4,16,Mirage
Team1,SJ,Ambush,7,16,Inferno
Team1,SJ,BLUEJAYS,12,16,Dust2
Team1,SJ,CR4ZY,14,16,Dust2
Team1,SJ,CR4ZY,2,16,Dust2
Team1,SJ,CR4ZY,2,16,Nuke
Team1,SJ,Copenhagen Flames,12,16,Nuke
Team1,SJ,Copenhagen Flames,14,16,Mirage
Team1,SJ,Copenhagen Flames,16,11,Inferno
Team1,SJ,Copenhagen Flames,16,12,Mirage
Team1,SJ,Copenhagen Flames,25,23,Vertigo
Team1,SJ,Copenhagen Flames,6,16,Overpass
Team1,SJ,DreamEaters,13,16,Overpass
Team1,SJ,DreamEaters,16,13,Nuke
Team1,SJ,DreamEaters,8,16,Inferno
Team1,SJ,ENCE,0,16,Train
Team1,SJ,ENCE,3,16,Nuke
Team1,SJ,FPL-CTalents,9,16,Dust2
Team1,SJ,Fierce,16,11,Dust2
Team1,SJ,Fierce,17,19,Vertigo
Team1,SJ,HAVU,11,16,Nuke
Team1,SJ,HAVU,16,3,Inferno
Team1,SJ,HAVU,19,15,Nuke
Team1,SJ,HAVU,25,22,Dust2
Team1,SJ,HAVU,7,16,Nuke
Team1,SJ,HAVU,8,16,Train
Team1,SJ,Hard Legion,16,10,Train
Team1,SJ,Hard Legion,16,8,Train
Team1,SJ,HellRaisers,5,16,Mirage
Team1,SJ,Izako Boars,14,16,Inferno
Team1,SJ,Izako Boars,16,11,Nuke
Team1,SJ,Izako Boars,16,13,Train
Team1,SJ,KOVA,16,11,Dust2
Team1,SJ,KOVA,5,16,Train
Team1,SJ,KOVA,7,16,Inferno
Team1,SJ,LDLC,16,12,Dust2
Team1,SJ,LDLC,16,13,Train
Team1,SJ,Lyngby Vikings,16,11,Nuke
Team1,SJ,Lyngby Vikings,16,8,Train
Team1,SJ,Nemiga,16,12,Mirage
Team1,SJ,Nemiga,16,13,Inferno
Team1,SJ,NoChance,13,16,Dust2
Team1,SJ,PACT,8,16,Inferno
Team1,SJ,SKADE,4,16,Train
Team1,SJ,SMASH,16,11,Inferno
Team1,SJ,Squared,16,1,Inferno
Team1,SJ,Squared,16,12,Mirage
Team1,SJ,Squared,16,9,Train
Team1,SJ,Syman,16,12,Inferno
Team1,SJ,Syman,16,13,Dust2
Team1,SJ,Tricked,8,16,Inferno
Team1,SJ,Tricked Academy,16,13,Overpass
Team1,SJ,Tricked Academy,16,4,Train
Team1,SJ,Unicorns of Love,17,19,Nuke
Team1,SJ,Vega Squadron,10,16,Overpass
Team1,SJ,Vega Squadron,16,13,Train
Team1,SJ,ViCi,16,10,Train
Team1,SJ,Wisla Krakow,12,16,Nuke
Team1,SJ,Wisla Krakow,16,10,Dust2
Team1,SJ,adwokacik,16,11,Inferno
Team1,SJ,adwokacik,19,16,Dust2
Team1,SJ,adwokacik,19,17,Vertigo
Team1,SJ,forZe,12,16,Dust2
Team1,SJ,hREDS,14,16,Dust2
Team1,SJ,hREDS,16,11,Inferno
Team1,SJ,hREDS,16,12,Nuke
Team1,SJ,hREDS,16,8,Inferno
Team1,SJ,hREDS,16,9,Inferno
Team1,SJ,hREDS,7,16,Dust2
