Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SMASH,AGO,16,14,Dust2
Team1,SMASH,AGO,16,3,Mirage
Team1,SMASH,AGO,16,6,Dust2
Team1,SMASH,Ancient,16,11,Nuke
Team1,SMASH,Aristocracy,16,11,Dust2
Team1,SMASH,Aristocracy,16,14,Overpass
Team1,SMASH,BIG,16,11,Nuke
Team1,SMASH,BIG,4,16,Dust2
Team1,SMASH,BIG,4,16,Inferno
Team1,SMASH,BIG,5,16,Nuke
Team1,SMASH,BIG,7,16,Mirage
Team1,SMASH,CR4ZY,16,10,Nuke
Team1,SMASH,Complexity,16,13,Mirage
Team1,SMASH,Complexity,16,14,Inferno
Team1,SMASH,Copenhagen Flames,16,12,Nuke
Team1,SMASH,HAVU,16,10,Dust2
Team1,SMASH,HAVU,16,13,Overpass
Team1,SMASH,HAVU,9,16,Nuke
Team1,SMASH,Hard Legion,16,12,Inferno
Team1,SMASH,Heretics,16,10,Overpass
Team1,SMASH,Heretics,22,20,Nuke
Team1,SMASH,Illuminar,16,5,Overpass
Team1,SMASH,KOVA,16,14,Mirage
Team1,SMASH,Movistar Riders,12,16,Inferno
Team1,SMASH,NAVI Junior,3,16,Dust2
Team1,SMASH,Nordavind,25,22,Overpass
Team1,SMASH,Nordavind,3,16,Inferno
Team1,SMASH,SKADE,16,13,Mirage
Team1,SMASH,SKADE,7,16,Inferno
Team1,SMASH,Secret,13,16,Dust2
Team1,SMASH,Singularity,16,12,Nuke
Team1,SMASH,Singularity,9,16,Dust2
Team1,SMASH,Spirit,16,10,Overpass
Team1,SMASH,Spirit,16,12,Nuke
Team1,SMASH,Spirit,16,14,Train
Team1,SMASH,Spirit,5,16,Mirage
Team1,SMASH,Syman,11,16,Inferno
Team1,SMASH,Syman,16,14,Overpass
Team1,SMASH,Syman,22,18,Mirage
Team1,SMASH,Syman,9,16,Train
Team1,SMASH,Virtus.pro,16,8,Dust2
Team1,SMASH,ex-Epsilon,16,12,Nuke
Team1,SMASH,internazionale,19,16,Nuke
Team1,SMASH,internazionale,20,22,Inferno
Team2,SMASH,AGO,15,19,Overpass
Team2,SMASH,AGO,16,6,Dust2
Team2,SMASH,AGO,16,7,Nuke
Team2,SMASH,Ancient,12,16,Dust2
Team2,SMASH,Ancient,16,19,Inferno
Team2,SMASH,BIG,10,16,Inferno
Team2,SMASH,CR4ZY,16,7,Inferno
Team2,SMASH,HAVU,16,4,Mirage
Team2,SMASH,Heretics,14,16,Nuke
Team2,SMASH,KOVA,11,16,Nuke
Team2,SMASH,KOVA,16,6,Dust2
Team2,SMASH,NAVI Junior,14,16,Overpass
Team2,SMASH,NAVI Junior,16,8,Nuke
Team2,SMASH,Nordavind,12,16,Overpass
Team2,SMASH,Nordavind,14,16,Mirage
Team2,SMASH,Nordavind,16,4,Inferno
Team2,SMASH,SKADE,11,16,Inferno
Team2,SMASH,SKADE,11,16,Overpass
Team2,SMASH,SKADE,16,5,Nuke
Team2,SMASH,SKADE,16,7,Train
Team2,SMASH,SKADE,16,7,Train
Team2,SMASH,Secret,13,16,Train
Team2,SMASH,Spirit,10,16,Dust2
Team2,SMASH,Spirit,16,5,Inferno
Team2,SMASH,Spirit,17,19,Dust2
Team2,SMASH,Virtus.pro,13,16,Nuke
Team2,SMASH,ex-Epsilon,10,16,Inferno
Team2,SMASH,forZe,10,16,Mirage
Team2,SMASH,forZe,12,16,Inferno
