Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Santos,Alma,13,16,Mirage
Team1,Santos,Alma,16,11,Mirage
Team1,Santos,Alma,9,16,Inferno
Team1,Santos,DETONA,8,16,Mirage
Team1,Santos,INTZ.Academy,16,10,Mirage
Team1,Santos,Isurus,16,11,Dust2
Team1,Santos,Isurus,16,13,Mirage
Team1,Santos,Isurus,2,16,Mirage
Team1,Santos,Isurus,2,16,Nuke
Team1,Santos,Make It Happen,16,10,Nuke
Team1,Santos,Make It Happen,16,5,Dust2
Team1,Santos,RED Canids,16,14,Nuke
Team1,Santos,RUFUS,10,16,Nuke
Team1,Santos,RUFUS,12,16,Train
Team1,Santos,RUFUS,16,12,Train
Team1,Santos,Soberano,16,4,Mirage
Team1,Santos,W7M,1,16,Inferno
Team1,Santos,W7M,16,12,Train
Team1,Santos,WePlayGames,2,16,Overpass
Team1,Santos,paiN,7,16,Cache
Team1,Santos,paiN,7,16,Dust2
Team2,Santos,Bulldozer,16,5,Dust2
Team2,Santos,INTZ.Academy,17,19,Dust2
Team2,Santos,Isurus,10,16,Inferno
Team2,Santos,RUFUS,13,16,Nuke
Team2,Santos,Redemption POA,14,16,Train
Team2,Santos,ratoes,17,19,Dust2
