Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Se7en,Absolute,16,10,Mirage
Team1,Se7en,Absolute,16,19,Train
Team1,Se7en,Absolute,8,16,Dust2
Team1,Se7en,Espada,16,2,Dust2
Team1,Se7en,HZ,9,16,Dust2
Team1,Se7en,Maple,10,16,Inferno
Team1,Se7en,Maple,16,12,Train
Team1,Se7en,Movistar Riders,16,11,Nuke
Team1,Se7en,OneWay,16,5,Mirage
Team1,Se7en,QtabENTER,16,13,Dust2
Team1,Se7en,SG.pro,13,16,Mirage
Team1,Se7en,SKADE,10,16,Inferno
Team1,Se7en,SKADE,5,16,Inferno
Team1,Se7en,Unique,16,12,Mirage
Team1,Se7en,Winstrike,16,11,Train
Team1,Se7en,Winstrike,4,16,Overpass
Team1,Se7en,buaksib,15,19,Train
Team1,Se7en,buaksib,16,11,Inferno
Team1,Se7en,struggletony,16,6,Train
Team2,Se7en,Atlants,16,5,Train
Team2,Se7en,Espada,17,19,Mirage
Team2,Se7en,Movistar Riders,16,6,Inferno
Team2,Se7en,NewBALLS,14,16,Nuke
Team2,Se7en,OneWay,14,16,Dust2
Team2,Se7en,PACT,18,22,Inferno
Team2,Se7en,Revolt,10,16,Inferno
Team2,Se7en,SG.pro,13,16,Overpass
Team2,Se7en,SKADE,16,19,Inferno
Team2,Se7en,SKADE,16,6,Mirage
Team2,Se7en,SKADE,16,8,Dust2
Team2,Se7en,SKADE,20,22,Nuke
Team2,Se7en,Syman,14,16,Inferno
Team2,Se7en,Syman,19,22,Mirage
Team2,Se7en,Winstrike,15,19,Dust2
Team2,Se7en,buaksib,16,6,Inferno
Team2,Se7en,pro100,12,16,Inferno
Team2,Se7en,struggletony,16,7,Dust2
