Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Skyfire,Astral Influence,16,13,Nuke
Team1,Skyfire,Caladrius,16,1,Nuke
Team1,Skyfire,CheeseLTD,16,11,Cache
Team1,Skyfire,Chiefs,17,19,Train
Team1,Skyfire,FURY,4,16,Overpass
Team1,Skyfire,Generation of Miracles,16,12,Overpass
Team1,Skyfire,Generation of Miracles,19,16,Vertigo
Team1,Skyfire,Ground Zero,16,12,Mirage
Team1,Skyfire,Ground Zero,9,16,Mirage
Team1,Skyfire,Lucid,16,13,Inferno
Team1,Skyfire,Lucid,16,14,Vertigo
Team1,Skyfire,ORDER,23,25,Train
Team1,Skyfire,Paradox,16,11,Overpass
Team1,Skyfire,Paradox,16,11,Vertigo
Team1,Skyfire,Rooster,7,16,Vertigo
Team1,Skyfire,TWA,7,16,Nuke
Team1,Skyfire,madlikewizards,6,16,Inferno
Team2,Skyfire,Esper,16,6,Overpass
Team2,Skyfire,Incept,16,3,Train
Team2,Skyfire,Incept,16,8,Overpass
Team2,Skyfire,PC419,14,16,Mirage
Team2,Skyfire,Paradox,14,16,Inferno
Team2,Skyfire,Rooster,10,16,Mirage
Team2,Skyfire,catman,26,28,Mirage
Team2,Skyfire,ex-Paradox,16,19,Mirage
