Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Smoke Criminals,5balls,16,12,Mirage
Team1,Smoke Criminals,5balls,16,9,Nuke
Team1,Smoke Criminals,Arena Bulls,11,16,Nuke
Team1,Smoke Criminals,Arena Bulls,5,16,Inferno
Team1,Smoke Criminals,Codewise Unicorns,16,6,Inferno
Team1,Smoke Criminals,Codewise Unicorns,7,16,Dust2
Team1,Smoke Criminals,Falkn,16,11,Dust2
Team1,Smoke Criminals,High Coast,16,2,Overpass
Team1,Smoke Criminals,Vitality,7,16,Mirage
Team2,Smoke Criminals,Codewise Unicorns,16,9,Nuke
Team2,Smoke Criminals,Falkn,16,8,Inferno
Team2,Smoke Criminals,High Coast,16,9,Mirage
Team2,Smoke Criminals,Vitality,14,16,Inferno
