Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Spacestation,FURIA,2,16,Inferno
Team1,Spacestation,Luminosity,16,13,Cache
Team1,Spacestation,NRG,4,16,Dust2
Team1,Spacestation,NRG,5,16,Mirage
Team1,Spacestation,Rugratz,7,16,Inferno
Team1,Spacestation,Swole Patrol,5,16,Train
Team1,Spacestation,The Fundamentals,16,10,Cache
Team1,Spacestation,Win Scrims Not Matches,16,12,Cache
Team1,Spacestation,iNTACT,16,13,Nuke
Team2,Spacestation,Bad News Bears,10,16,Inferno
Team2,Spacestation,Final Feature,13,16,Nuke
Team2,Spacestation,Luminosity,11,16,Dust2
Team2,Spacestation,Luminosity,12,16,Overpass
Team2,Spacestation,MASSIVEimpact,12,16,Cache
Team2,Spacestation,NRG,11,16,Train
Team2,Spacestation,NRG,12,16,Inferno
Team2,Spacestation,Party Astronauts,16,9,Overpass
Team2,Spacestation,Singularity,16,8,Nuke
Team2,Spacestation,Swole Patrol,14,16,Mirage
Team2,Spacestation,Whatever It Takes,16,7,Train
