Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Stay Frosty,Big Chillin,16,8,Inferno
Team1,Stay Frosty,Conan's Money Crew,16,13,Mirage
Team1,Stay Frosty,Conan's Money Crew,16,13,Overpass
Team1,Stay Frosty,Luminosity,5,16,Mirage
Team2,Stay Frosty,Big Chillin,16,2,Dust2
Team2,Stay Frosty,Bravado,11,16,Nuke
Team2,Stay Frosty,Monstars,16,6,Inferno
Team2,Stay Frosty,Old Guys Club,14,16,Nuke
Team2,Stay Frosty,Singularity,13,16,Overpass
Team2,Stay Frosty,Spacestation,12,16,Mirage
Team2,Stay Frosty,The Fundamentals,12,16,Inferno
