Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Swole Patrol,ATK,14,16,Mirage
Team1,Swole Patrol,ATK,16,12,Inferno
Team1,Swole Patrol,Black,16,13,Inferno
Team1,Swole Patrol,Complexity,16,10,Dust2
Team1,Swole Patrol,Divine,16,10,Inferno
Team1,Swole Patrol,Envy,14,16,Overpass
Team1,Swole Patrol,Envy,16,13,Mirage
Team1,Swole Patrol,Envy,2,16,Inferno
Team1,Swole Patrol,Envy,6,16,Dust2
Team1,Swole Patrol,Envy,8,16,Vertigo
Team1,Swole Patrol,FURIA,16,12,Vertigo
Team1,Swole Patrol,INTZ,8,16,Overpass
Team1,Swole Patrol,LiViD,16,1,Mirage
Team1,Swole Patrol,Liquid,16,11,Vertigo
Team1,Swole Patrol,Liquid,16,12,Overpass
Team1,Swole Patrol,MIBR,6,16,Mirage
Team1,Swole Patrol,MIBR,9,16,Vertigo
Team1,Swole Patrol,Oceanus,16,10,Nuke
Team1,Swole Patrol,Singularity,16,12,Mirage
Team1,Swole Patrol,Triumph,16,3,Train
Team1,Swole Patrol,Triumph,19,17,Inferno
Team1,Swole Patrol,eUnited,16,1,Dust2
Team1,Swole Patrol,eUnited,16,10,Inferno
Team1,Swole Patrol,eUnited,16,12,Train
Team1,Swole Patrol,eUnited,16,14,Inferno
Team1,Swole Patrol,ex-iNTACT,16,13,Dust2
Team1,Swole Patrol,ex-iNTACT,19,16,Mirage
Team2,Swole Patrol,100 Thieves,13,16,Inferno
Team2,Swole Patrol,ATF,16,2,Nuke
Team2,Swole Patrol,Envy,14,16,Train
Team2,Swole Patrol,Envy,16,7,Inferno
Team2,Swole Patrol,Evil Geniuses,10,16,Inferno
Team2,Swole Patrol,Evil Geniuses,14,16,Vertigo
Team2,Swole Patrol,FURIA,16,7,Nuke
Team2,Swole Patrol,INTZ,14,16,Vertigo
Team2,Swole Patrol,In The Lab,16,3,Overpass
Team2,Swole Patrol,MASSIVEimpact,16,2,Dust2
Team2,Swole Patrol,Station7,16,4,Inferno
Team2,Swole Patrol,Station7,16,5,Dust2
Team2,Swole Patrol,Triumph,16,5,Vertigo
Team2,Swole Patrol,ex-iNTACT,12,16,Inferno
Team2,Swole Patrol,nTice,16,8,Mirage
