Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,The Fundamentals,BLITZKRIEG,11,16,Inferno
Team1,The Fundamentals,Fragging for Andy,16,14,Cache
Team1,The Fundamentals,Infamous,5,16,Mirage
Team1,The Fundamentals,Luminosity,19,16,Inferno
Team1,The Fundamentals,Party Astronauts,5,16,Dust2
Team1,The Fundamentals,Party Astronauts,8,16,Cache
Team1,The Fundamentals,Swole Patrol,8,16,Overpass
Team1,The Fundamentals,The Quest,7,16,Inferno
Team1,The Fundamentals,The Quest,9,16,Nuke
Team1,The Fundamentals,slashLEVEL,9,16,Cache
Team2,The Fundamentals,BLITZKRIEG,12,16,Cache
Team2,The Fundamentals,FURIA,10,16,Cache
Team2,The Fundamentals,Party Astronauts,16,19,Overpass
Team2,The Fundamentals,TeamOne,0,16,Mirage
Team2,The Fundamentals,slashLEVEL,14,16,Nuke
