Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Thunder Logic,AA,6,16,Dust2
Team1,Thunder Logic,ATK,16,14,Inferno
Team1,Thunder Logic,Altima,19,17,Overpass
Team1,Thunder Logic,BBC,16,12,Inferno
Team1,Thunder Logic,Big Frames,7,16,Overpass
Team1,Thunder Logic,Bushido Boyz,14,16,Overpass
Team1,Thunder Logic,Bushido Boyz,5,16,Mirage
Team1,Thunder Logic,Empire,16,12,Inferno
Team1,Thunder Logic,Empire,19,17,Mirage
Team1,Thunder Logic,Empire,9,16,Dust2
Team1,Thunder Logic,Envy,8,16,Inferno
Team1,Thunder Logic,Hysteria,8,16,Overpass
Team1,Thunder Logic,In The Lab,16,11,Train
Team1,Thunder Logic,In The Lab,16,12,Mirage
Team1,Thunder Logic,Just Swing,16,13,Overpass
Team1,Thunder Logic,Keep the Comms Up,28,26,Nuke
Team1,Thunder Logic,Keep the Comms Up,4,16,Mirage
Team1,Thunder Logic,Monstars,4,16,Train
Team1,Thunder Logic,New England Whalers,16,13,Nuke
Team1,Thunder Logic,Party Astronauts,3,16,Overpass
Team1,Thunder Logic,Precision,16,12,Nuke
Team1,Thunder Logic,Precision,19,15,Dust2
Team1,Thunder Logic,Prospects,16,12,Overpass
Team1,Thunder Logic,Recon 5,10,16,Nuke
Team1,Thunder Logic,Recon 5,16,12,Train
Team1,Thunder Logic,Serac,16,13,Overpass
Team1,Thunder Logic,Station7,10,16,Overpass
Team1,Thunder Logic,Swole Identity,19,16,Overpass
Team1,Thunder Logic,TeamOne,5,16,Mirage
Team1,Thunder Logic,The Quest,16,8,Mirage
Team1,Thunder Logic,bloo,8,16,Nuke
Team1,Thunder Logic,iNTACT,16,14,Nuke
Team1,Thunder Logic,slashLEVEL,16,10,Mirage
Team1,Thunder Logic,slashLEVEL,7,16,Inferno
Team1,Thunder Logic,timbermen,16,14,Mirage
Team1,Thunder Logic,timbermen,3,16,Train
Team2,Thunder Logic,Ascent,14,16,Inferno
Team2,Thunder Logic,Big Frames,10,16,Mirage
Team2,Thunder Logic,ClearVision,13,16,Overpass
Team2,Thunder Logic,Faint,10,16,Train
Team2,Thunder Logic,Faint,12,16,Dust2
Team2,Thunder Logic,Faint,16,4,Nuke
Team2,Thunder Logic,Infinity,14,16,Dust2
Team2,Thunder Logic,Infinity,16,9,Train
Team2,Thunder Logic,New Identity,12,16,Inferno
Team2,Thunder Logic,Peeker's Advantage,16,7,Dust2
Team2,Thunder Logic,Sadbots,12,16,Inferno
Team2,Thunder Logic,Serac,12,16,Mirage
Team2,Thunder Logic,Station7,16,9,Inferno
Team2,Thunder Logic,The Quest,16,9,Dust2
Team2,Thunder Logic,Under 21,11,16,Nuke
Team2,Thunder Logic,Variance,10,16,Overpass
Team2,Thunder Logic,Yeah,16,5,Train
