Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Unicorns of Love,ALTERNATE aTTaX,16,7,Dust2
Team1,Unicorns of Love,ALTERNATE aTTaX,22,20,Overpass
Team1,Unicorns of Love,ALTERNATE aTTaX,3,16,Inferno
Team1,Unicorns of Love,ALTERNATE aTTaX,8,16,Vertigo
Team1,Unicorns of Love,ALTERNATE aTTaX,9,16,Dust2
Team1,Unicorns of Love,Akopalipsa,16,13,Inferno
Team1,Unicorns of Love,Berzerk,8,16,Cache
Team1,Unicorns of Love,Brute,16,14,Dust2
Team1,Unicorns of Love,Copenhagen Flames,16,10,Inferno
Team1,Unicorns of Love,Copenhagen Flames,7,16,Train
Team1,Unicorns of Love,Defusekids,16,12,Vertigo
Team1,Unicorns of Love,Demolition Crew,5,16,Inferno
Team1,Unicorns of Love,ENCE,4,16,Dust2
Team1,Unicorns of Love,Endpoint,6,16,Dust2
Team1,Unicorns of Love,Epsilon,16,12,Train
Team1,Unicorns of Love,Epsilon,20,22,Dust2
Team1,Unicorns of Love,Epsilon,5,16,Nuke
Team1,Unicorns of Love,GamePub,16,14,Inferno
Team1,Unicorns of Love,GamerLegion,8,16,Overpass
Team1,Unicorns of Love,Izako Boars,16,13,Overpass
Team1,Unicorns of Love,Lyngby Vikings,16,9,Inferno
Team1,Unicorns of Love,Movistar Riders,4,16,Nuke
Team1,Unicorns of Love,Nordavind,6,16,Inferno
Team1,Unicorns of Love,PACT,16,13,Dust2
Team1,Unicorns of Love,SJ,16,11,Train
Team1,Unicorns of Love,Singularity,7,16,Nuke
Team1,Unicorns of Love,Spirit,6,16,Inferno
Team1,Unicorns of Love,Sprout,6,16,Dust2
Team1,Unicorns of Love,Syman,16,13,Dust2
Team1,Unicorns of Love,Syman,8,16,Overpass
Team1,Unicorns of Love,Windigo,16,13,Dust2
Team1,Unicorns of Love,Wisla Krakow,3,16,Nuke
Team1,Unicorns of Love,expert,16,14,Cache
Team1,Unicorns of Love,pro100,16,10,Dust2
Team2,Unicorns of Love,ALTERNATE aTTaX,14,16,Cache
Team2,Unicorns of Love,ALTERNATE aTTaX,16,9,Vertigo
Team2,Unicorns of Love,Berzerk,12,16,Overpass
Team2,Unicorns of Love,Chaos,12,16,Inferno
Team2,Unicorns of Love,Defusekids,18,22,Dust2
Team2,Unicorns of Love,HoP,16,5,Cache
Team2,Unicorns of Love,Illuminar,16,7,Inferno
Team2,Unicorns of Love,Nemiga,16,7,Dust2
Team2,Unicorns of Love,PACT,16,7,Dust2
Team2,Unicorns of Love,SJ,16,5,Cache
Team2,Unicorns of Love,Singularity,10,16,Overpass
Team2,Unicorns of Love,Sprout,0,16,Inferno
Team2,Unicorns of Love,Syman,16,3,Inferno
Team2,Unicorns of Love,Uruguay,16,19,Dust2
Team2,Unicorns of Love,pro100,14,16,Inferno
Team2,Unicorns of Love,pro100,16,5,Inferno
Team2,Unicorns of Love,volgare,16,4,Inferno
