Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Valiance,AGO,16,13,Train
Team1,Valiance,AGO,16,2,Mirage
Team1,Valiance,AGO,16,7,Nuke
Team1,Valiance,AGO,25,21,Cache
Team1,Valiance,AVANGAR,13,16,Cache
Team1,Valiance,Arena Bulls,16,5,Nuke
Team1,Valiance,BIG,10,16,Train
Team1,Valiance,Chaos,16,11,Mirage
Team1,Valiance,ENCE,11,16,Mirage
Team1,Valiance,EURONICS,16,1,Mirage
Team1,Valiance,EURONICS,16,5,Nuke
Team1,Valiance,Epsilon,16,13,Dust2
Team1,Valiance,G2,16,13,Vertigo
Team1,Valiance,G2,8,16,Nuke
Team1,Valiance,GamerLegion,16,10,Mirage
Team1,Valiance,GamerLegion,16,6,Nuke
Team1,Valiance,HAVU,10,16,Cache
Team1,Valiance,HAVU,19,17,Dust2
Team1,Valiance,HAVU,19,17,Nuke
Team1,Valiance,HellRaisers,16,7,Train
Team1,Valiance,LDLC,16,7,Mirage
Team1,Valiance,OpTic,16,10,Nuke
Team1,Valiance,OpTic,16,13,Mirage
Team1,Valiance,OpTic,16,3,Train
Team1,Valiance,Salamander,16,12,Nuke
Team1,Valiance,Spirit,18,22,Mirage
Team1,Valiance,Syman,16,10,Mirage
Team1,Valiance,Tricked,16,10,Overpass
Team1,Valiance,Tricked,16,14,Mirage
Team1,Valiance,Tricked,16,14,Train
Team1,Valiance,Tricked,16,4,Cache
Team1,Valiance,Unicorns of Love,19,17,Dust2
Team1,Valiance,Unique,22,20,Inferno
Team1,Valiance,Unique,6,16,Mirage
Team1,Valiance,Vitality,11,16,Mirage
Team1,Valiance,Vitality,14,16,Inferno
Team1,Valiance,Vitality,16,11,Inferno
Team1,Valiance,Vitality,16,12,Cache
Team1,Valiance,Vitality,4,16,Dust2
Team1,Valiance,Vitality,9,16,Dust2
Team1,Valiance,Winstrike,16,11,Inferno
Team1,Valiance,Winstrike,16,12,Mirage
Team1,Valiance,ex-Fragsters,16,14,Dust2
Team1,Valiance,expert,16,14,Train
Team1,Valiance,forZe,13,16,Inferno
Team1,Valiance,forZe,16,1,Nuke
Team1,Valiance,forZe,8,16,Inferno
Team1,Valiance,forZe,9,16,Train
Team1,Valiance,mousesports,11,16,Mirage
Team1,Valiance,mousesports,16,12,Train
Team1,Valiance,mousesports,16,14,Mirage
Team1,Valiance,x-kom,16,9,Mirage
Team1,Valiance,x6tence Galaxy,16,12,Dust2
Team1,Valiance,x6tence Galaxy,16,19,Mirage
Team1,Valiance,x6tence Galaxy,19,15,Dust2
Team1,Valiance,x6tence Galaxy,5,16,Inferno
Team2,Valiance,3DMAX,16,6,Cache
Team2,Valiance,AGO,13,16,Inferno
Team2,Valiance,AGO,16,6,Dust2
Team2,Valiance,AGO,16,7,Cache
Team2,Valiance,AVANGAR,12,16,Dust2
Team2,Valiance,Arena Bulls,16,3,Inferno
Team2,Valiance,Chaos,16,4,Inferno
Team2,Valiance,Codewise Unicorns,16,8,Train
Team2,Valiance,Denial,16,3,Inferno
Team2,Valiance,Denial,16,4,Nuke
Team2,Valiance,ENCE,16,9,Dust2
Team2,Valiance,GamerLegion,16,6,Cache
Team2,Valiance,Izako Boars,16,8,Dust2
Team2,Valiance,LDLC,16,2,Dust2
Team2,Valiance,LDLC,16,4,Dust2
Team2,Valiance,NASR,13,16,Inferno
Team2,Valiance,NASR,16,3,Nuke
Team2,Valiance,Salamander,16,7,Mirage
Team2,Valiance,Sharks,12,16,Train
Team2,Valiance,Spirit,16,6,Train
Team2,Valiance,Spirit,26,28,Inferno
Team2,Valiance,Sprout,16,2,Overpass
Team2,Valiance,Syman,16,7,Dust2
Team2,Valiance,Vitality,13,16,Mirage
Team2,Valiance,Vitality,15,19,Mirage
Team2,Valiance,Vitality,20,22,Inferno
Team2,Valiance,expert,16,6,Nuke
Team2,Valiance,forZe,16,3,Inferno
Team2,Valiance,forZe,16,7,Vertigo
Team2,Valiance,mousesports,12,16,Train
Team2,Valiance,mousesports,16,6,Dust2
Team2,Valiance,mousesports,16,8,Cache
Team2,Valiance,x-kom,16,7,Train
