Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Vexed,3DMAX,9,16,Mirage
Team1,Vexed,AGO,2,16,Overpass
Team1,Vexed,AGO,6,16,Train
Team1,Vexed,ALTERNATE aTTaX,2,16,Cache
Team1,Vexed,ALTERNATE aTTaX,9,16,Inferno
Team1,Vexed,Apeks,16,5,Mirage
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Chetz,16,7,Nuke
Team1,Vexed,Endpoint,13,16,Nuke
Team1,Vexed,Endpoint,16,10,Mirage
Team1,Vexed,Endpoint,16,10,Nuke
Team1,Vexed,Endpoint,16,10,Overpass
Team1,Vexed,Endpoint,16,13,Train
Team1,Vexed,Endpoint,5,16,Overpass
Team1,Vexed,Endpoint,6,16,Dust2
Team1,Vexed,FATE,3,16,Overpass
Team1,Vexed,FATE,9,16,Train
Team1,Vexed,Fierce,19,17,Overpass
Team1,Vexed,Fierce,8,16,Mirage
Team1,Vexed,Fierce,9,16,Mirage
Team1,Vexed,HAVU,16,4,Mirage
Team1,Vexed,HAVU,7,16,Train
Team1,Vexed,LDLC,16,10,Mirage
Team1,Vexed,LDLC,16,12,Mirage
Team1,Vexed,LDLC,16,13,Nuke
Team1,Vexed,LDLC,16,14,Inferno
Team1,Vexed,LDLC,16,14,Mirage
Team1,Vexed,LDLC,6,16,Inferno
Team1,Vexed,LDLC,9,16,Nuke
Team1,Vexed,Nemiga,8,16,Vertigo
Team1,Vexed,Prima,16,12,Dust2
Team1,Vexed,Red Reserve,16,9,Mirage
Team1,Vexed,Red Reserve,8,16,Cache
Team1,Vexed,SJ,14,16,Nuke
Team1,Vexed,SJ,7,16,Dust2
Team1,Vexed,Salamander,16,11,Overpass
Team1,Vexed,Sinners,22,18,Overpass
Team1,Vexed,Sinners,8,16,Nuke
Team1,Vexed,Sprout,6,16,Cache
Team1,Vexed,Sprout,6,16,Inferno
Team1,Vexed,Unique,16,10,Vertigo
Team1,Vexed,ad hoc,16,12,Mirage
Team1,Vexed,ad hoc,16,12,Train
Team1,Vexed,expert,5,16,Inferno
Team1,Vexed,fightclub,16,14,Mirage
Team1,Vexed,x6tence Galaxy,13,16,Overpass
Team2,Vexed,3DMAX,15,19,Inferno
Team2,Vexed,Apeks,16,9,Dust2
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Chetz,16,3,Train
Team2,Vexed,Endpoint,13,16,Dust2
Team2,Vexed,Endpoint,14,16,Dust2
Team2,Vexed,Fierce,14,16,Dust2
Team2,Vexed,Fierce,17,19,Overpass
Team2,Vexed,Prima,16,6,Inferno
Team2,Vexed,Salamander,12,16,Train
Team2,Vexed,Unique,16,5,Dust2
Team2,Vexed,expert,16,2,Train
Team2,Vexed,x6tence Galaxy,11,16,Inferno
