Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Virtus.pro,ALTERNATE aTTaX,16,13,Overpass
Team1,Virtus.pro,AVANGAR,6,16,Inferno
Team1,Virtus.pro,Ancient,16,11,Nuke
Team1,Virtus.pro,Ancient,16,14,Nuke
Team1,Virtus.pro,Ancient,4,16,Overpass
Team1,Virtus.pro,Ancient,6,16,Mirage
Team1,Virtus.pro,Ancient,7,16,Inferno
Team1,Virtus.pro,Aristocracy,16,11,Train
Team1,Virtus.pro,Aristocracy,16,14,Mirage
Team1,Virtus.pro,BIG,8,16,Inferno
Team1,Virtus.pro,CR4ZY,8,16,Train
Team1,Virtus.pro,Chaos,11,16,Dust2
Team1,Virtus.pro,Chaos,16,11,Mirage
Team1,Virtus.pro,Cloud9,4,16,Overpass
Team1,Virtus.pro,Cloud9,7,16,Dust2
Team1,Virtus.pro,Copenhagen Flames,8,16,Inferno
Team1,Virtus.pro,Demise,16,11,Inferno
Team1,Virtus.pro,E-RIVALS,16,14,Mirage
Team1,Virtus.pro,ENCE,7,16,Mirage
Team1,Virtus.pro,Espada,16,14,Mirage
Team1,Virtus.pro,Espada,9,16,Dust2
Team1,Virtus.pro,FURIA,9,16,Mirage
Team1,Virtus.pro,FaZe,12,16,Cache
Team1,Virtus.pro,FaZe,16,10,Train
Team1,Virtus.pro,FaZe,16,6,Mirage
Team1,Virtus.pro,FaZe,6,16,Dust2
Team1,Virtus.pro,FaZe,9,16,Inferno
Team1,Virtus.pro,FrenchFrogs,11,16,Inferno
Team1,Virtus.pro,FrenchFrogs,16,14,Vertigo
Team1,Virtus.pro,G2,12,16,Train
Team1,Virtus.pro,G2,16,12,Vertigo
Team1,Virtus.pro,G2,2,16,Vertigo
Team1,Virtus.pro,G2,7,16,Nuke
Team1,Virtus.pro,G2,7,16,Nuke
Team1,Virtus.pro,GODSENT,13,16,Vertigo
Team1,Virtus.pro,GODSENT,9,16,Dust2
Team1,Virtus.pro,Gambit,16,12,Train
Team1,Virtus.pro,GamerLegion,25,23,Train
Team1,Virtus.pro,GamerLegion,6,16,Overpass
Team1,Virtus.pro,HAVU,16,11,Nuke
Team1,Virtus.pro,HAVU,19,17,Overpass
Team1,Virtus.pro,Hard Legion,16,13,Inferno
Team1,Virtus.pro,Hard Legion,16,14,Inferno
Team1,Virtus.pro,Hard Legion,3,16,Dust2
Team1,Virtus.pro,Hard Legion,9,16,Train
Team1,Virtus.pro,Heretics,19,17,Nuke
Team1,Virtus.pro,Illuminar,13,16,Mirage
Team1,Virtus.pro,Illuminar,16,11,Train
Team1,Virtus.pro,Illuminar,3,16,Vertigo
Team1,Virtus.pro,Izako Boars,8,16,Dust2
Team1,Virtus.pro,MAD Lions,13,16,Dust2
Team1,Virtus.pro,MIBR,16,14,Train
Team1,Virtus.pro,Movistar Riders,16,13,Cache
Team1,Virtus.pro,Nemiga,11,16,Nuke
Team1,Virtus.pro,Nemiga,19,17,Inferno
Team1,Virtus.pro,Nexus,16,11,Mirage
Team1,Virtus.pro,NoChance,13,16,Vertigo
Team1,Virtus.pro,OFFSET,16,10,Train
Team1,Virtus.pro,OFFSET,9,16,Inferno
Team1,Virtus.pro,OG,19,15,Mirage
Team1,Virtus.pro,OPAA,16,11,Nuke
Team1,Virtus.pro,OPAA,22,19,Overpass
Team1,Virtus.pro,PACT,16,14,Train
Team1,Virtus.pro,Pompa Black,16,14,Mirage
Team1,Virtus.pro,SJ,16,13,Nuke
Team1,Virtus.pro,SKADE,19,15,Nuke
Team1,Virtus.pro,SMASH,16,12,Train
Team1,Virtus.pro,SMASH,17,19,Inferno
Team1,Virtus.pro,Spirit,4,16,Overpass
Team1,Virtus.pro,Syman,16,14,Overpass
Team1,Virtus.pro,Syman,16,7,Inferno
Team1,Virtus.pro,Syman,16,8,Inferno
Team1,Virtus.pro,Tricked,11,16,Train
Team1,Virtus.pro,Tricked,16,11,Mirage
Team1,Virtus.pro,Tricked,8,16,Nuke
Team1,Virtus.pro,Vitality,7,16,Overpass
Team1,Virtus.pro,Windigo,5,16,Mirage
Team1,Virtus.pro,Winstrike,16,13,Overpass
Team1,Virtus.pro,Wisla Krakow,16,12,Nuke
Team1,Virtus.pro,Wisla Krakow,16,14,Mirage
Team1,Virtus.pro,ex-Wisła Płock,16,11,Nuke
Team1,Virtus.pro,expert,3,16,Cache
Team1,Virtus.pro,expert,6,16,Cache
Team1,Virtus.pro,fnatic,14,16,Inferno
Team1,Virtus.pro,fnatic,16,12,Vertigo
Team1,Virtus.pro,forZe,10,16,Vertigo
Team1,Virtus.pro,forZe,13,16,Nuke
Team1,Virtus.pro,forZe,6,16,Mirage
Team1,Virtus.pro,mousesports,11,16,Mirage
Team1,Virtus.pro,mousesports,12,16,Train
Team1,Virtus.pro,mousesports,16,11,Inferno
Team1,Virtus.pro,mousesports,16,11,Vertigo
Team1,Virtus.pro,mousesports,16,13,Overpass
Team1,Virtus.pro,mousesports,6,16,Nuke
Team1,Virtus.pro,pro100,12,16,Vertigo
Team1,Virtus.pro,x-kom,16,1,Vertigo
Team1,Virtus.pro,x-kom,16,12,Nuke
Team1,Virtus.pro,x-kom,16,13,Mirage
Team2,Virtus.pro,AGO,10,16,Dust2
Team2,Virtus.pro,AGO,11,16,Train
Team2,Virtus.pro,AGO,16,9,Mirage
Team2,Virtus.pro,BIG,12,16,Nuke
Team2,Virtus.pro,BIG,16,19,Overpass
Team2,Virtus.pro,BIG,19,22,Mirage
Team2,Virtus.pro,BIG,21,25,Overpass
Team2,Virtus.pro,Chaos,12,16,Dust2
Team2,Virtus.pro,Chaos,13,16,Train
Team2,Virtus.pro,Chaos,15,19,Inferno
Team2,Virtus.pro,E-RIVALS,16,7,Inferno
Team2,Virtus.pro,Epsilon,20,22,Mirage
Team2,Virtus.pro,FATE,16,3,Dust2
Team2,Virtus.pro,FATE,16,5,Train
Team2,Virtus.pro,FaZe,14,16,Train
Team2,Virtus.pro,FaZe,16,5,Train
Team2,Virtus.pro,FrenchFrogs,10,16,Mirage
Team2,Virtus.pro,Gambit Youngsters,11,16,Overpass
Team2,Virtus.pro,GamerLegion,13,16,Mirage
Team2,Virtus.pro,GamerLegion,14,16,Inferno
Team2,Virtus.pro,Hard Legion,10,16,Overpass
Team2,Virtus.pro,Hard Legion,13,16,Overpass
Team2,Virtus.pro,Heroic,14,16,Dust2
Team2,Virtus.pro,Heroic,26,28,Mirage
Team2,Virtus.pro,Illuminar,11,16,Nuke
Team2,Virtus.pro,Illuminar,13,16,Vertigo
Team2,Virtus.pro,Izako Boars,13,16,Mirage
Team2,Virtus.pro,MAD Lions,14,16,Overpass
Team2,Virtus.pro,MAD Lions,16,7,Vertigo
Team2,Virtus.pro,Movistar Riders,16,19,Inferno
Team2,Virtus.pro,Nemiga,10,16,Mirage
Team2,Virtus.pro,Nemiga,16,19,Dust2
Team2,Virtus.pro,NoChance,10,16,Train
Team2,Virtus.pro,NoChance,16,9,Mirage
Team2,Virtus.pro,North,11,16,Mirage
Team2,Virtus.pro,OpTic,12,16,Nuke
Team2,Virtus.pro,OpTic,16,19,Train
Team2,Virtus.pro,OwmS,16,6,Nuke
Team2,Virtus.pro,Phoenix,11,16,Train
Team2,Virtus.pro,SJ,16,9,Train
Team2,Virtus.pro,SKADE,13,16,Overpass
Team2,Virtus.pro,SMASH,11,16,Overpass
Team2,Virtus.pro,SMASH,14,16,Inferno
Team2,Virtus.pro,Spirit,13,16,Inferno
Team2,Virtus.pro,Sprout,12,16,Train
Team2,Virtus.pro,Syman,16,2,Mirage
Team2,Virtus.pro,TYLOO,16,4,Vertigo
Team2,Virtus.pro,TYLOO,16,8,Inferno
Team2,Virtus.pro,Tricked,16,9,Nuke
Team2,Virtus.pro,Tricked,19,22,Train
Team2,Virtus.pro,Unicorns of Love,16,5,Cache
Team2,Virtus.pro,Valiance,12,16,Mirage
Team2,Virtus.pro,Valiance,13,16,Dust2
Team2,Virtus.pro,Vitality,10,16,Nuke
Team2,Virtus.pro,Winstrike,11,16,Nuke
Team2,Virtus.pro,Winstrike,16,3,Train
Team2,Virtus.pro,Wisla Krakow,14,16,Train
Team2,Virtus.pro,forZe,10,16,Dust2
Team2,Virtus.pro,forZe,10,16,Dust2
Team2,Virtus.pro,forZe,10,16,Mirage
Team2,Virtus.pro,forZe,14,16,Train
Team2,Virtus.pro,mousesports,16,6,Mirage
Team2,Virtus.pro,pro100,17,19,Train
Team2,Virtus.pro,x-kom,14,16,Train
