Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,W7M,BOOM,10,16,Nuke
Team1,W7M,BOOM,3,16,Mirage
Team1,W7M,Bravos,16,6,Inferno
Team1,W7M,Bulldozer,16,13,Inferno
Team1,W7M,Bulldozer,19,16,Inferno
Team1,W7M,DETONA,15,19,Dust2
Team1,W7M,DETONA,16,11,Inferno
Team1,W7M,DETONA,16,11,Mirage
Team1,W7M,DETONA,16,13,Dust2
Team1,W7M,DETONA,16,13,Train
Team1,W7M,DETONA,16,14,Inferno
Team1,W7M,DETONA,16,7,Mirage
Team1,W7M,DETONA,9,16,Mirage
Team1,W7M,DETONA,9,16,Overpass
Team1,W7M,Evidence,22,18,Mirage
Team1,W7M,FULL SEND,10,16,Nuke
Team1,W7M,Falkol,16,8,Overpass
Team1,W7M,Furious,16,5,Train
Team1,W7M,GANSOS,16,10,Inferno
Team1,W7M,INTZ.Academy,16,10,Overpass
Team1,W7M,Imperial,16,11,Inferno
Team1,W7M,Imperial,16,13,Vertigo
Team1,W7M,Imperial,16,14,Inferno
Team1,W7M,Imperial,16,8,Mirage
Team1,W7M,Imperial,16,9,Overpass
Team1,W7M,Imperial,3,16,Train
Team1,W7M,Inflames,16,13,Vertigo
Team1,W7M,Inflames,16,8,Overpass
Team1,W7M,Isurus,12,16,Mirage
Team1,W7M,Isurus,16,11,Mirage
Team1,W7M,Isurus,16,14,Mirage
Team1,W7M,Keyd,13,16,Inferno
Team1,W7M,Keyd,16,10,Mirage
Team1,W7M,Keyd,16,12,Inferno
Team1,W7M,Keyd,16,13,Mirage
Team1,W7M,Keyd,16,14,Nuke
Team1,W7M,Keyd,16,9,Inferno
Team1,W7M,Keyd,19,16,Nuke
Team1,W7M,RED Canids,16,11,Inferno
Team1,W7M,RED Canids,16,12,Train
Team1,W7M,RED Canids,16,13,Dust2
Team1,W7M,RED Canids,16,13,Train
Team1,W7M,RED Canids,16,9,Overpass
Team1,W7M,RED Canids,7,16,Train
Team1,W7M,RED Canids,8,16,Inferno
Team1,W7M,RED Canids,8,16,Overpass
Team1,W7M,RED Canids,9,16,Nuke
Team1,W7M,RED Canids,9,16,Vertigo
Team1,W7M,Reapers,16,11,Inferno
Team1,W7M,Reapers,16,12,Inferno
Team1,W7M,Reapers,16,13,Mirage
Team1,W7M,Redemption POA,16,0,Overpass
Team1,W7M,Redemption POA,16,8,Inferno
Team1,W7M,S2N,16,13,Train
Team1,W7M,Santos,16,8,Overpass
Team1,W7M,Sharks,16,11,Inferno
Team1,W7M,Sharks,6,16,Train
Team1,W7M,Soberano,16,12,Mirage
Team1,W7M,Valiance,7,16,Inferno
Team1,W7M,Valiance,8,16,Nuke
Team1,W7M,WePlayGames,16,13,Mirage
Team1,W7M,WePlayGames,16,14,Mirage
Team1,W7M,WePlayGames,16,14,Overpass
Team1,W7M,paiN,12,16,Train
Team1,W7M,paiN,2,16,Inferno
Team1,W7M,paiN,4,16,Inferno
Team1,W7M,paiN,4,16,Overpass
Team1,W7M,paiN,4,16,Train
Team1,W7M,paiN,6,16,Nuke
Team1,W7M,paiN,8,16,Dust2
Team1,W7M,paiN,8,16,Inferno
Team1,W7M,paiN,8,16,Nuke
Team1,W7M,paiN,9,16,Inferno
Team1,W7M,paiN,9,16,Nuke
Team1,W7M,ratoes,16,0,Overpass
Team1,W7M,ratoes,16,10,Inferno
Team2,W7M,9z,14,16,Mirage
Team2,W7M,9z,21,25,Vertigo
Team2,W7M,Alma,16,7,Overpass
Team2,W7M,Bravos,16,19,Overpass
Team2,W7M,Bulldozer,16,3,Train
Team2,W7M,DETONA,11,16,Mirage
Team2,W7M,DETONA,16,8,Train
Team2,W7M,DETONA,16,9,Nuke
Team2,W7M,DETONA,16,9,Train
Team2,W7M,DETONA,17,19,Train
Team2,W7M,Evidence,13,16,Inferno
Team2,W7M,Evidence,16,9,Train
Team2,W7M,FULL SEND,12,16,Mirage
Team2,W7M,Furious,16,6,Inferno
Team2,W7M,INTZ.Academy,11,16,Cache
Team2,W7M,INTZ.Academy,12,16,Mirage
Team2,W7M,INTZ.Academy,16,5,Train
Team2,W7M,Imperial,16,4,Train
Team2,W7M,Inflames,14,16,Inferno
Team2,W7M,Inflames,16,3,Nuke
Team2,W7M,Isurus,11,16,Train
Team2,W7M,Isurus,12,16,Nuke
Team2,W7M,Isurus,20,22,Inferno
Team2,W7M,Keyd,10,16,Overpass
Team2,W7M,Keyd,16,3,Overpass
Team2,W7M,Keyd,16,5,Nuke
Team2,W7M,RED Canids,16,4,Inferno
Team2,W7M,RED Canids,16,4,Train
Team2,W7M,RED Canids,16,9,Dust2
Team2,W7M,RED Canids,16,9,Train
Team2,W7M,RED Canids,22,25,Overpass
Team2,W7M,Reapers,22,25,Inferno
Team2,W7M,S2N,16,7,Mirage
Team2,W7M,Santos,16,2,Mirage
Team2,W7M,Santos,16,3,Mirage
Team2,W7M,Santos,16,3,Overpass
Team2,W7M,Santos,16,7,Mirage
Team2,W7M,Soberano,16,4,Nuke
Team2,W7M,Valiance,13,16,Mirage
Team2,W7M,WePlayGames,10,16,Vertigo
Team2,W7M,WePlayGames,16,19,Train
Team2,W7M,paiN,11,16,Vertigo
Team2,W7M,paiN,13,16,Overpass
Team2,W7M,paiN,13,16,Vertigo
Team2,W7M,paiN,16,3,Nuke
Team2,W7M,paiN,16,4,Inferno
Team2,W7M,paiN,16,5,Inferno
Team2,W7M,paiN,16,6,Train
Team2,W7M,paiN,21,25,Overpass
Team2,W7M,ratoes,16,3,Nuke
