Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Yeah,AA,16,10,Inferno
Team1,Yeah,AA,4,16,Mirage
Team1,Yeah,Chaos,12,16,Inferno
Team1,Yeah,DETONA,16,14,Train
Team1,Yeah,DETONA,25,23,Dust2
Team1,Yeah,Divine,16,6,Nuke
Team1,Yeah,FURIA,9,16,Nuke
Team1,Yeah,RUFUS,19,17,Nuke
Team1,Yeah,Recon 5,14,16,Train
Team1,Yeah,Recon 5,16,13,Inferno
Team1,Yeah,Station7,16,12,Mirage
Team1,Yeah,Ze Pug Godz,16,10,Nuke
Team1,Yeah,paiN,7,16,Inferno
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Big Frames,16,7,Nuke
Team2,Yeah,Chaos,13,16,Nuke
Team2,Yeah,Divine,16,2,Inferno
Team2,Yeah,Orgless,10,16,Train
Team2,Yeah,Orgless,13,16,Mirage
Team2,Yeah,RUFUS,16,9,Train
Team2,Yeah,Russian Street Party,16,4,Inferno
Team2,Yeah,Station7,16,5,Inferno
Team2,Yeah,Ze Pug Godz,10,16,Inferno
