Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,absolute mad lads,Bushido Boyz,16,4,Train
Team1,absolute mad lads,Drawn to Fulfillment,13,16,Inferno
Team1,absolute mad lads,Drawn to Fulfillment,16,10,Train
Team1,absolute mad lads,Envy,5,16,Train
Team1,absolute mad lads,Final Feature,16,10,Mirage
Team1,absolute mad lads,Just Swing,9,16,Inferno
Team1,absolute mad lads,LiViD,8,16,Dust2
Team1,absolute mad lads,Rebirth,10,16,Mirage
Team2,absolute mad lads,Just Swing,10,16,Overpass
Team2,absolute mad lads,Just Swing,16,8,Inferno
Team2,absolute mad lads,Rebirth,13,16,Nuke
