Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,adwokacik,AVEZ,16,10,Dust2
Team1,adwokacik,BLUEJAYS,16,19,Inferno
Team1,adwokacik,BLUEJAYS,22,20,Mirage
Team1,adwokacik,GAMERZONE,16,12,Inferno
Team1,adwokacik,Illuminar,16,10,Train
Team1,adwokacik,Illuminar,9,16,Overpass
Team1,adwokacik,Nemiga,16,13,Mirage
Team1,adwokacik,OneThree,16,12,Mirage
Team1,adwokacik,OneThree,5,16,Inferno
Team1,adwokacik,PACT,14,16,Inferno
Team1,adwokacik,SJ,16,7,Inferno
Team1,adwokacik,Tricked,7,16,Train
Team1,adwokacik,Unique,16,10,Train
Team1,adwokacik,Unique,16,12,Mirage
Team1,adwokacik,Unique,16,8,Mirage
Team1,adwokacik,Unique,8,16,Train
Team2,adwokacik,GAMERZONE,16,9,Mirage
Team2,adwokacik,Heretics,12,16,Inferno
Team2,adwokacik,Heretics,12,16,Mirage
Team2,adwokacik,Nemiga,10,16,Inferno
Team2,adwokacik,Nemiga,14,16,Dust2
Team2,adwokacik,PACT,10,16,Mirage
Team2,adwokacik,SJ,11,16,Nuke
Team2,adwokacik,SJ,14,16,Train
