Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ahq,2333,19,17,Inferno
Team1,ahq,Grayhound,1,16,Inferno
Team1,ahq,Grayhound,5,16,Nuke
Team1,ahq,Heretics,16,12,Vertigo
Team1,ahq,Invictus,8,16,Mirage
Team1,ahq,LaZe,15,19,Inferno
Team1,ahq,LaZe,19,17,Mirage
Team1,ahq,NASR,16,19,Dust2
Team1,ahq,NASR,9,16,Nuke
Team1,ahq,TheMongolz,16,11,Inferno
Team2,ahq,2333,16,7,Dust2
Team2,ahq,Absolute,11,16,Dust2
Team2,ahq,Absolute,14,16,Mirage
Team2,ahq,ENZO,16,9,Dust2
Team2,ahq,ENZO,19,22,Nuke
Team2,ahq,Heretics,16,2,Dust2
Team2,ahq,TheMongolz,10,16,Inferno
Team2,ahq,TheMongolz,16,19,Mirage
Team2,ahq,TheMongolz,16,9,Mirage
