Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,c0ntact,Copenhagen Flames,16,12,Nuke
Team1,c0ntact,Copenhagen Flames,16,5,Mirage
Team1,c0ntact,Copenhagen Flames,17,19,Inferno
Team1,c0ntact,Copenhagen Flames,19,16,Nuke
Team1,c0ntact,FunPlus Phoenix,11,16,Nuke
Team1,c0ntact,FunPlus Phoenix,16,12,Dust2
Team1,c0ntact,FunPlus Phoenix,7,16,Dust2
Team1,c0ntact,GODSENT,9,16,Nuke
Team1,c0ntact,MAD Lions,24,28,Mirage
Team1,c0ntact,MAD Lions,7,16,Dust2
Team1,c0ntact,MAD Lions,9,16,Nuke
Team1,c0ntact,Movistar Riders,16,5,Mirage
Team1,c0ntact,North,9,16,Nuke
Team2,c0ntact,FunPlus Phoenix,16,3,Inferno
Team2,c0ntact,HAVU,12,16,Dust2
Team2,c0ntact,MAD Lions,12,16,Nuke
Team2,c0ntact,Movistar Riders,13,16,Nuke
