Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,eSuba,Absolute Legends,16,13,Inferno
Team1,eSuba,Absolute Legends,19,15,Train
Team1,eSuba,Brute,16,13,Vertigo
Team1,eSuba,Dark Tigers,16,10,Inferno
Team1,eSuba,Dark Tigers,16,13,Inferno
Team1,eSuba,Dark Tigers,16,14,Mirage
Team1,eSuba,Dark Tigers,22,20,Train
Team1,eSuba,GamerLegion,16,12,Inferno
Team1,eSuba,GamerLegion,6,16,Dust2
Team1,eSuba,GamerLegion,9,16,Mirage
Team1,eSuba,Inside,16,8,Nuke
Team1,eSuba,Moops,16,11,Train
Team1,eSuba,MoopsXD,3,16,Inferno
Team1,eSuba,Universe,6,16,Mirage
Team1,eSuba,Universe,9,16,Overpass
Team1,eSuba,Windigo,16,12,Mirage
Team1,eSuba,eXtatus,19,16,Inferno
Team1,eSuba,eXtatus,3,16,Mirage
Team2,eSuba,Brute,11,16,Nuke
Team2,eSuba,Brute,12,16,Mirage
Team2,eSuba,Brute,13,16,Nuke
Team2,eSuba,Brute,14,16,Mirage
Team2,eSuba,Brute,16,6,Train
Team2,eSuba,Moops,16,8,Mirage
