Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ex-Epsilon,AVANGAR,7,16,Dust2
Team1,ex-Epsilon,Aristocracy,9,16,Train
Team1,ex-Epsilon,Japaleno,16,13,Train
Team1,ex-Epsilon,Japaleno,16,14,Mirage
Team1,ex-Epsilon,Japaleno,16,14,Overpass
Team1,ex-Epsilon,Nordavind,16,14,Inferno
Team1,ex-Epsilon,SMASH,8,16,Train
Team1,ex-Epsilon,Sprout,10,16,Dust2
Team1,ex-Epsilon,Sprout,16,10,Inferno
Team1,ex-Epsilon,Sprout,28,26,Train
Team1,ex-Epsilon,Sprout,8,16,Dust2
Team1,ex-Epsilon,Tricked,6,16,Mirage
Team1,ex-Epsilon,Tricked,6,16,Nuke
Team1,ex-Epsilon,Turkey5,16,4,Inferno
Team1,ex-Epsilon,Turkey5,7,16,Dust2
Team1,ex-Epsilon,forZe,2,16,Mirage
Team1,ex-Epsilon,mousesports,8,16,Dust2
Team2,ex-Epsilon,Aristocracy,12,16,Nuke
Team2,ex-Epsilon,Copenhagen Flames,11,16,Overpass
Team2,ex-Epsilon,FPL-CTalents,16,2,Mirage
Team2,ex-Epsilon,FPL-CTalents,16,5,Inferno
Team2,ex-Epsilon,Gambit Youngsters,11,16,Dust2
Team2,ex-Epsilon,Gambit Youngsters,13,16,Mirage
Team2,ex-Epsilon,Japaleno,14,16,Overpass
Team2,ex-Epsilon,Nordavind,16,9,Overpass
Team2,ex-Epsilon,OneWay,16,6,Mirage
Team2,ex-Epsilon,OneWay,16,6,Nuke
Team2,ex-Epsilon,OpTic,16,9,Train
Team2,ex-Epsilon,ViCi,16,2,Mirage
