Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ex-Fragsters,FASTLOSE,16,13,Mirage
Team1,ex-Fragsters,London,16,7,Inferno
Team1,ex-Fragsters,Tricked,16,10,Dust2
Team1,ex-Fragsters,devils.one,6,16,Train
Team1,ex-Fragsters,pro100,22,19,Nuke
Team1,ex-Fragsters,x-kom,16,10,Inferno
Team1,ex-Fragsters,x-kom,6,16,Train
Team1,ex-Fragsters,x6tence Galaxy,16,14,Mirage
Team2,ex-Fragsters,Brute,16,5,Nuke
Team2,ex-Fragsters,Chaos,16,7,Mirage
Team2,ex-Fragsters,Epsilon,12,16,Inferno
Team2,ex-Fragsters,London,12,16,Mirage
Team2,ex-Fragsters,Movistar Riders,13,16,Nuke
Team2,ex-Fragsters,Unicorns of Love,16,7,Inferno
Team2,ex-Fragsters,Uruguay,13,16,Inferno
Team2,ex-Fragsters,Virtus.pro,14,16,Mirage
Team2,ex-Fragsters,forZe,10,16,Inferno
Team2,ex-Fragsters,pro100,12,16,Inferno
Team2,ex-Fragsters,x-kom,13,16,Cache
Team2,ex-Fragsters,x-kom,15,19,Mirage
