Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,fnatic,100 Thieves,19,16,Inferno
Team1,fnatic,100 Thieves,19,16,Mirage
Team1,fnatic,AVANGAR,16,12,Mirage
Team1,fnatic,AVANGAR,16,14,Train
Team1,fnatic,AVANGAR,16,6,Dust2
Team1,fnatic,Aristocracy,16,11,Mirage
Team1,fnatic,Aristocracy,16,11,Train
Team1,fnatic,Aristocracy,16,13,Nuke
Team1,fnatic,Aristocracy,8,16,Overpass
Team1,fnatic,Astralis,16,14,Inferno
Team1,fnatic,Astralis,16,19,Inferno
Team1,fnatic,Astralis,6,16,Nuke
Team1,fnatic,BIG,16,10,Overpass
Team1,fnatic,BIG,16,11,Inferno
Team1,fnatic,BIG,16,11,Nuke
Team1,fnatic,BIG,16,11,Train
Team1,fnatic,BIG,16,7,Overpass
Team1,fnatic,BIG,7,16,Inferno
Team1,fnatic,Complexity,16,14,Nuke
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,16,6,Dust2
Team1,fnatic,Complexity,19,16,Inferno
Team1,fnatic,Dignitas,19,15,Inferno
Team1,fnatic,Dignitas,19,17,Train
Team1,fnatic,Dignitas,22,25,Overpass
Team1,fnatic,ENCE,13,16,Mirage
Team1,fnatic,ENCE,7,16,Mirage
Team1,fnatic,Evil Geniuses,10,16,Dust2
Team1,fnatic,FURIA,16,14,Nuke
Team1,fnatic,FURIA,16,5,Inferno
Team1,fnatic,FURIA,19,15,Mirage
Team1,fnatic,FURIA,34,32,Overpass
Team1,fnatic,FaZe,16,11,Overpass
Team1,fnatic,FaZe,16,7,Inferno
Team1,fnatic,FaZe,5,16,Overpass
Team1,fnatic,FaZe,8,16,Mirage
Team1,fnatic,G2,12,16,Train
Team1,fnatic,G2,14,16,Dust2
Team1,fnatic,G2,16,11,Overpass
Team1,fnatic,Grayhound,16,19,Mirage
Team1,fnatic,HellRaisers,16,11,Inferno
Team1,fnatic,HellRaisers,16,12,Train
Team1,fnatic,HellRaisers,8,16,Overpass
Team1,fnatic,Heretics,16,14,Dust2
Team1,fnatic,Heretics,16,14,Inferno
Team1,fnatic,Heretics,16,9,Mirage
Team1,fnatic,Heroic,16,12,Mirage
Team1,fnatic,Heroic,16,13,Overpass
Team1,fnatic,Heroic,7,16,Nuke
Team1,fnatic,Liquid,16,10,Cache
Team1,fnatic,Liquid,6,16,Inferno
Team1,fnatic,Liquid,8,16,Mirage
Team1,fnatic,MIBR,16,11,Inferno
Team1,fnatic,MIBR,16,11,Vertigo
Team1,fnatic,MIBR,16,13,Inferno
Team1,fnatic,Movistar Riders,2,16,Inferno
Team1,fnatic,NRG,16,10,Mirage
Team1,fnatic,Natus Vincere,11,16,Dust2
Team1,fnatic,Natus Vincere,14,16,Inferno
Team1,fnatic,Natus Vincere,16,6,Overpass
Team1,fnatic,NiP,16,12,Dust2
Team1,fnatic,NiP,16,5,Mirage
Team1,fnatic,NiP,16,9,Overpass
Team1,fnatic,NiP,19,16,Cache
Team1,fnatic,NiP,2,16,Overpass
Team1,fnatic,NiP,22,20,Dust2
Team1,fnatic,NiP,8,16,Nuke
Team1,fnatic,North,16,1,Inferno
Team1,fnatic,North,16,11,Inferno
Team1,fnatic,North,16,11,Nuke
Team1,fnatic,North,16,12,Vertigo
Team1,fnatic,North,16,9,Train
Team1,fnatic,North,9,16,Overpass
Team1,fnatic,OG,15,19,Mirage
Team1,fnatic,OG,16,12,Inferno
Team1,fnatic,OpTic,16,12,Inferno
Team1,fnatic,OpTic,5,16,Vertigo
Team1,fnatic,OpTic,7,16,Dust2
Team1,fnatic,Renegades,16,14,Inferno
Team1,fnatic,Renegades,9,16,Mirage
Team1,fnatic,SMASH,16,6,Inferno
Team1,fnatic,TYLOO,16,2,Mirage
Team1,fnatic,Tricked,16,11,Inferno
Team1,fnatic,Tricked,16,13,Nuke
Team1,fnatic,Virtus.pro,16,6,Mirage
Team1,fnatic,Virtus.pro,16,7,Mirage
Team1,fnatic,Vitality,16,12,Nuke
Team1,fnatic,Vitality,16,12,Nuke
