Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,m1x,AVANGAR,19,16,Mirage
Team1,m1x,Astralis,8,16,Inferno
Team1,m1x,HellRaisers,16,4,Mirage
Team1,m1x,Japaleno,16,14,Train
Team1,m1x,Japaleno,9,16,Inferno
Team1,m1x,NiP,16,12,Dust2
Team1,m1x,NiP,7,16,Inferno
Team1,m1x,One More Time,16,1,Overpass
Team1,m1x,One More Time,19,15,Dust2
Team1,m1x,Tricked,16,6,Dust2
Team1,m1x,Tricked,16,7,Overpass
Team1,m1x,Tricked,19,17,Train
Team1,m1x,mousesports,19,15,Dust2
Team1,m1x,mousesports,5,16,Nuke
Team2,m1x,AVANGAR,12,16,Dust2
Team2,m1x,AVANGAR,12,16,Inferno
Team2,m1x,Astralis,17,19,Dust2
Team2,m1x,HellRaisers,12,16,Nuke
Team2,m1x,Heretics,12,16,Dust2
Team2,m1x,Japaleno,16,8,Mirage
Team2,m1x,NiP,12,16,Overpass
Team2,m1x,Tricked,14,16,Mirage
