Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,madlikewizards,AVANT,2,16,Mirage
Team1,madlikewizards,AVANT,2,16,Mirage
Team1,madlikewizards,Airborne,19,17,Inferno
Team1,madlikewizards,Eimi Fukada FC,16,9,Inferno
Team1,madlikewizards,Eimi Fukada FC,19,17,Overpass
Team1,madlikewizards,Esper,16,1,Mirage
Team1,madlikewizards,FURY,16,13,Mirage
Team1,madlikewizards,Ferox,16,13,Nuke
Team1,madlikewizards,Ferox,16,8,Mirage
Team1,madlikewizards,Fighting 4 Freedom,16,8,Inferno
Team1,madlikewizards,Ground Zero,16,13,Overpass
Team1,madlikewizards,Ground Zero,7,16,Inferno
Team1,madlikewizards,Jade,16,10,Mirage
Team1,madlikewizards,MC,16,14,Inferno
Team1,madlikewizards,ORDER,8,16,Inferno
Team1,madlikewizards,ORDER,8,16,Mirage
Team1,madlikewizards,ex-MC,7,16,Mirage
Team2,madlikewizards,AVANT,11,16,Nuke
Team2,madlikewizards,AVANT,11,16,Overpass
Team2,madlikewizards,Dippers,16,7,Overpass
Team2,madlikewizards,Eimi Fukada FC,16,3,Mirage
Team2,madlikewizards,FURY,16,3,Inferno
Team2,madlikewizards,Fighting 4 Freedom,14,16,Overpass
Team2,madlikewizards,Genuine,12,16,Dust2
Team2,madlikewizards,Genuine,16,19,Dust2
Team2,madlikewizards,Ground Zero,16,7,Overpass
Team2,madlikewizards,ORDER,0,16,Nuke
Team2,madlikewizards,PC419,12,16,Mirage
Team2,madlikewizards,Paradox,16,9,Mirage
Team2,madlikewizards,ROCK CANDY,16,2,Mirage
Team2,madlikewizards,SYF,16,9,Nuke
Team2,madlikewizards,ZOOWEEMAMA,16,7,Vertigo
Team2,madlikewizards,catman,23,25,Inferno
Team2,madlikewizards,ex-MC,16,7,Overpass
