Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,maquinas,Gambit Youngsters,14,16,Mirage
Team1,maquinas,Gambit Youngsters,16,11,Inferno
Team1,maquinas,HUKKA,16,13,Mirage
Team1,maquinas,Heroic,10,16,Overpass
Team1,maquinas,Heroic,16,13,Inferno
Team1,maquinas,Heroic,9,16,Nuke
Team1,maquinas,North,14,16,Mirage
Team1,maquinas,One More Time,5,16,Nuke
Team1,maquinas,Unique,16,14,Nuke
Team2,maquinas,HUKKA,16,9,Nuke
Team2,maquinas,NAVI Junior,16,5,Train
Team2,maquinas,Nordavind,14,16,Inferno
Team2,maquinas,North,16,19,Overpass
