Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,pro100,1WIN,12,16,Mirage
Team1,pro100,1WIN,16,14,Train
Team1,pro100,AGO,16,5,Mirage
Team1,pro100,AGO,9,16,Dust2
Team1,pro100,ALTERNATE aTTaX,22,25,Mirage
Team1,pro100,AVANGAR,5,16,Dust2
Team1,pro100,AVANGAR,5,16,Inferno
Team1,pro100,AVANGAR,6,16,Overpass
Team1,pro100,AVANGAR,8,16,Mirage
Team1,pro100,AVANGAR,9,16,Dust2
Team1,pro100,Berzerk,16,12,Cache
Team1,pro100,Berzerk,16,4,Inferno
Team1,pro100,CR4ZY,2,16,Train
Team1,pro100,Chaos,13,16,Overpass
Team1,pro100,Chaos,19,16,Cache
Team1,pro100,Copenhagen Flames,14,16,Train
Team1,pro100,Copenhagen Flames,16,10,Inferno
Team1,pro100,Copenhagen Flames,16,8,Vertigo
Team1,pro100,Copenhagen Flames,5,16,Mirage
Team1,pro100,Espada,13,16,Overpass
Team1,pro100,Espada,16,11,Mirage
Team1,pro100,Espada,16,12,Mirage
Team1,pro100,Espada,16,13,Overpass
Team1,pro100,Espada,25,22,Train
Team1,pro100,Gambit Youngsters,14,16,Dust2
Team1,pro100,Giants,14,16,Vertigo
Team1,pro100,Giants,16,10,Inferno
Team1,pro100,Goliath,16,11,Inferno
Team1,pro100,Goliath,16,8,Train
Team1,pro100,HAVU,16,10,Mirage
Team1,pro100,HAVU,16,11,Dust2
Team1,pro100,HAVU,16,14,Dust2
Team1,pro100,HAVU,17,19,Inferno
Team1,pro100,HAVU,7,16,Dust2
Team1,pro100,HAVU,9,16,Train
Team1,pro100,HellRaisers,16,12,Train
Team1,pro100,HellRaisers,16,13,Vertigo
Team1,pro100,HellRaisers,19,15,Mirage
Team1,pro100,Heretics,16,12,Dust2
Team1,pro100,Izako Boars,22,18,Nuke
Team1,pro100,Japaleno,14,16,Dust2
Team1,pro100,Japaleno,16,10,Dust2
Team1,pro100,Japaleno,8,16,Inferno
Team1,pro100,Juggernauts,16,9,Vertigo
Team1,pro100,KAV0,16,13,Dust2
Team1,pro100,Kinguin,16,10,Mirage
Team1,pro100,Monolith,11,16,Cache
Team1,pro100,Monolith,16,13,Nuke
Team1,pro100,Movistar Riders,14,16,Mirage
Team1,pro100,Movistar Riders,16,10,Train
Team1,pro100,Movistar Riders,16,5,Mirage
Team1,pro100,Movistar Riders,22,20,Mirage
Team1,pro100,Movistar Riders,5,16,Cache
Team1,pro100,Movistar Riders,9,16,Inferno
Team1,pro100,Nemiga,19,17,Dust2
Team1,pro100,Nemiga,6,16,Inferno
Team1,pro100,Nemiga,6,16,Vertigo
Team1,pro100,Nemiga,7,16,Mirage
Team1,pro100,NewBALLS,16,3,Overpass
Team1,pro100,NoChance,2,16,Overpass
Team1,pro100,Nordavind,22,19,Dust2
Team1,pro100,One More Time,16,11,Dust2
Team1,pro100,OpTic,8,16,Inferno
Team1,pro100,PACT,13,16,Dust2
Team1,pro100,Runtime,16,11,Cache
Team1,pro100,Runtime,8,16,Dust2
Team1,pro100,SG.pro,16,14,Dust2
Team1,pro100,SKADE,9,16,Train
Team1,pro100,SMASH,16,10,Overpass
Team1,pro100,SMASH,16,14,Train
Team1,pro100,Salamander,16,14,Mirage
Team1,pro100,Se7en,14,16,Dust2
Team1,pro100,Se7en,16,12,Nuke
Team1,pro100,Sprout,16,10,Inferno
Team1,pro100,Sprout,16,12,Train
Team1,pro100,Sprout,5,16,Mirage
Team1,pro100,Syman,16,7,Mirage
Team1,pro100,Syman,20,22,Mirage
Team1,pro100,Tricked,14,16,Inferno
Team1,pro100,Tricked,6,16,Mirage
Team1,pro100,Tricked,8,16,Overpass
Team1,pro100,Tricked,9,16,Nuke
Team1,pro100,Unique,13,16,Overpass
Team1,pro100,Unique,16,10,Mirage
Team1,pro100,Unique,16,13,Dust2
Team1,pro100,Unique,4,16,Train
Team1,pro100,Unique,6,16,Nuke
Team1,pro100,Unique,9,16,Overpass
Team1,pro100,Valiance,5,16,Nuke
Team1,pro100,Vega Squadron,16,11,Train
Team1,pro100,Virtus.pro,16,12,Train
Team1,pro100,Virtus.pro,4,16,Mirage
Team1,pro100,Warthox,16,13,Dust2
Team1,pro100,Winstrike,12,16,Train
Team1,pro100,Winstrike,5,16,Dust2
Team1,pro100,Wisla Krakow,14,16,Overpass
Team1,pro100,Wisla Krakow,16,10,Dust2
Team1,pro100,Wisla Krakow,16,10,Inferno
Team1,pro100,Wisla Krakow,16,10,Inferno
Team1,pro100,expert,16,1,Inferno
Team1,pro100,forZe,4,16,Mirage
Team1,pro100,forZe,9,16,Overpass
Team1,pro100,hREDS,16,12,Dust2
Team1,pro100,hREDS,16,7,Overpass
Team1,pro100,struggletony,16,12,Train
Team1,pro100,struggletony,19,15,Dust2
Team1,pro100,x-kom,16,10,Cache
Team1,pro100,x-kom,16,12,Inferno
Team1,pro100,x-kom,16,7,Inferno
Team1,pro100,x-kom,3,16,Nuke
Team2,pro100,2019,16,6,Mirage
Team2,pro100,ALTERNATE aTTaX,13,16,Overpass
Team2,pro100,ALTERNATE aTTaX,18,22,Dust2
Team2,pro100,CR4ZY,11,16,Dust2
Team2,pro100,Copenhagen Flames,12,16,Inferno
Team2,pro100,Epsilon,16,7,Inferno
Team2,pro100,Espada,10,16,Dust2
Team2,pro100,Espada,11,16,Dust2
Team2,pro100,Espada,11,16,Mirage
Team2,pro100,Espada,12,16,Mirage
Team2,pro100,Gambit Youngsters,10,16,Inferno
Team2,pro100,Gambit Youngsters,14,16,Mirage
Team2,pro100,GamerLegion,13,16,Mirage
Team2,pro100,GamerLegion,14,16,Mirage
Team2,pro100,HAVU,12,16,Dust2
Team2,pro100,HAVU,16,7,Inferno
Team2,pro100,Heavy KnockOut,16,3,Mirage
Team2,pro100,HellRaisers,16,9,Dust2
Team2,pro100,Japaleno,16,7,Overpass
Team2,pro100,Juggernauts,14,16,Inferno
Team2,pro100,KAV0,16,6,Inferno
Team2,pro100,Kinguin,16,3,Cache
Team2,pro100,Movistar Riders,10,16,Overpass
Team2,pro100,Movistar Riders,14,16,Overpass
Team2,pro100,NewBALLS,13,16,Train
Team2,pro100,NewBALLS,16,8,Mirage
Team2,pro100,NewBALLS,16,8,Overpass
Team2,pro100,NewBALLS,16,8,Train
Team2,pro100,Nexus,16,2,Mirage
Team2,pro100,NoChance,11,16,Cache
Team2,pro100,PACT,16,19,Train
Team2,pro100,PACT,16,6,Inferno
Team2,pro100,Runtime,16,3,Mirage
Team2,pro100,SG.pro,16,2,Mirage
Team2,pro100,SG.pro,17,19,Vertigo
Team2,pro100,SJ,13,16,Nuke
Team2,pro100,SKADE,14,16,Overpass
Team2,pro100,Salamander,13,16,Inferno
Team2,pro100,Se7en,12,16,Inferno
Team2,pro100,Spirit,11,16,Mirage
Team2,pro100,Spirit,12,16,Inferno
Team2,pro100,Spirit,20,22,Train
Team2,pro100,Sprout,11,16,Dust2
Team2,pro100,Syman,16,8,Overpass
Team2,pro100,Tricked,17,19,Overpass
Team2,pro100,Unique,16,7,Inferno
Team2,pro100,Virtus.pro,11,16,Mirage
Team2,pro100,Virtus.pro,14,16,Dust2
Team2,pro100,Warthox,16,8,Inferno
Team2,pro100,Windigo,12,16,Mirage
Team2,pro100,Winstrike,10,16,Mirage
Team2,pro100,Winstrike,14,16,Dust2
Team2,pro100,Winstrike,17,19,Mirage
Team2,pro100,devils.one,11,16,Dust2
Team2,pro100,ex-Epsilon,16,3,Dust2
Team2,pro100,ex-Fragsters,16,2,Mirage
Team2,pro100,forZe,11,16,Train
Team2,pro100,raregods,12,16,Overpass
Team2,pro100,raregods,13,16,Inferno
Team2,pro100,x-kom,10,16,Nuke
Team2,pro100,x-kom,11,16,Inferno
Team2,pro100,x-kom,12,16,Mirage
Team2,pro100,x-kom,12,16,Nuke
