Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,rewound,Chiefs,9,16,Train
Team1,rewound,Genuine,16,11,Overpass
Team1,rewound,Genuine,9,16,Inferno
Team1,rewound,Ground Zero,16,12,Overpass
Team1,rewound,Ground Zero,16,8,Train
Team1,rewound,Ground Zero,5,16,Mirage
Team1,rewound,Ground Zero,9,16,Inferno
Team1,rewound,Ground Zero,9,16,Mirage
Team1,rewound,Justice,16,14,Dust2
Team1,rewound,ORDER,8,16,Inferno
Team1,rewound,SYF,16,14,Inferno
Team1,rewound,SYF,4,16,Dust2
Team1,rewound,SYF,9,16,Mirage
Team1,rewound,ex-MC,16,12,Inferno
Team2,rewound,Bizarre,16,7,Mirage
Team2,rewound,Dippers,16,3,Overpass
Team2,rewound,Genuine,14,16,Train
Team2,rewound,Ground Zero,14,16,Inferno
Team2,rewound,ORDER,11,16,Nuke
Team2,rewound,PC419,19,22,Dust2
Team2,rewound,catman,16,19,Dust2
Team2,rewound,ex-Athletico,13,16,Overpass
Team2,rewound,ex-MC,10,16,Mirage
