Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team2,ViCi,New4,16,6,Inferno
Team2,Red Wolf,New4,1,16,Cache
Team2,MVP PK,ex-T.O.T,12,16,Overpass
Team1,ROG fl0m,ROG friberg,22,20,Mirage
Team2,ROG friberg,ROG fl0m,16,4,Train
Team1,ROG friberg,ROG fl0m,16,14,Inferno
Team1,AGO,eXtatus,16,14,Mirage
Team1,AGO,eXtatus,16,11,Train
Team1,ROG SkitzMACHINE,ROG Pimp,5,16,Nuke
Team2,ROG Pimp,ROG SkitzMACHINE,16,8,Overpass
Team1,SoaR,Rise Nation,19,16,Mirage
Team1,SoaR,Rise Nation,7,16,Inferno
Team2,Rise Nation,SoaR,12,16,Train
Team2,ROAR,MVP PK,13,16,Overpass
Team1,MVP PK,ROAR,16,13,Train
Team2,ViCi,Red Wolf,16,6,Inferno
Team2,ViCi,Red Wolf,16,4,Cobblestone
Team1,Red Wolf,ViCi,16,10,Mirage
Team2,ViCi,Red Wolf,16,8,Inferno
Team2,Flash,ex-T.O.T,16,9,Cache
Team2,ViCi,ex-T.O.T,16,8,Mirage
Team1,ViCi,ex-T.O.T,16,10,Cobblestone
Team1,Chiefs,AGO,5,16,Train
Team2,Space Soldiers,Rise Nation,16,7,Mirage
Team1,ROG nooky,ROG HOUNGOUNGAGNE,6,16,Train
Team2,ROG nooky,ROG HOUNGOUNGAGNE,21,25,Cache
Team2,Ghost Academy,SoaR,24,28,Mirage
Team1,eXtatus,GX,16,11,Cache
Team2,ROG IzakOOO,ROG strike,16,9,Train
Team1,ROG IzakOOO,ROG strike,19,17,Mirage
Team2,Space Soldiers,AGO,11,16,Cobblestone
Team1,SoaR,eXtatus,9,16,Train
Team1,Chiefs,Rise Nation,19,17,Overpass
Team2,GX,Ghost Academy,13,16,Mirage
Team1,ROAR,Red Wolf,8,16,Cache
Team1,ROAR,Red Wolf,5,16,Mirage
Team2,ViCi,MVP PK,12,16,Overpass
Team1,MVP PK,ViCi,6,16,Inferno
Team1,ViCi,MVP PK,9,16,Train
Team1,New4,ViCi,9,16,Inferno
Team2,ViCi,New4,13,16,Mirage
Team2,New4,ViCi,13,16,Train
Team1,Chiefs,Space Soldiers,9,16,Cobblestone
Team2,ROG friberg,ROG Pimp,16,5,Train
Team2,ROG Pimp,ROG friberg,14,16,Overpass
Team2,SoaR,Ghost Academy,19,22,Inferno
Team1,eXtatus,Space Soldiers,16,12,Overpass
Team1,eXtatus,Space Soldiers,9,16,Mirage
Team1,Space Soldiers,eXtatus,16,13,Inferno
Team1,ROG HOUNGOUNGAGNE,ROG IzakOOO,6,16,Train
Team1,ROG IzakOOO,ROG HOUNGOUNGAGNE,16,13,Mirage
Team2,AGO,Ghost Academy,16,2,Train
Team1,Ghost Academy,AGO,5,16,Overpass
Team2,Zer0 Expectations,Legacy,11,16,Mirage
Team2,Athletico,Masterminds,16,7,Cobblestone
Team2,Legacy,Athletico,16,19,Cache
Team2,Legacy,Athletico,12,16,Inferno
Team2,MVP PK,XCN,16,2,Nuke
Team1,Ardeont,Lucid Dream,16,12,Overpass
Team1,AGO,Space Soldiers,22,18,Mirage
Team2,Space Soldiers,AGO,12,16,Train
