Winner,Team1,Team2,Team1_Score,Team2_Score
New4,ViCi,New4,16,6
New4,Red Wolf,New4,1,16
ex-T.O.T,MVP PK,ex-T.O.T,12,16
ROG fl0m,ROG fl0m,ROG friberg,22,20
ROG fl0m,ROG friberg,ROG fl0m,16,4
ROG friberg,ROG friberg,ROG fl0m,16,14
AGO,AGO,eXtatus,16,14
AGO,AGO,eXtatus,16,11
ROG SkitzMACHINE,ROG SkitzMACHINE,ROG Pimp,5,16
ROG SkitzMACHINE,ROG Pimp,ROG SkitzMACHINE,16,8
SoaR,SoaR,Rise Nation,19,16
SoaR,SoaR,Rise Nation,7,16
SoaR,Rise Nation,SoaR,12,16
MVP PK,ROAR,MVP PK,13,16
MVP PK,MVP PK,ROAR,16,13
Red Wolf,ViCi,Red Wolf,16,6
Red Wolf,ViCi,Red Wolf,16,4
Red Wolf,Red Wolf,ViCi,16,10
Red Wolf,ViCi,Red Wolf,16,8
ex-T.O.T,Flash,ex-T.O.T,16,9
ex-T.O.T,ViCi,ex-T.O.T,16,8
ViCi,ViCi,ex-T.O.T,16,10
Chiefs,Chiefs,AGO,5,16
Rise Nation,Space Soldiers,Rise Nation,16,7
ROG nooky,ROG nooky,ROG HOUNGOUNGAGNE,6,16
ROG HOUNGOUNGAGNE,ROG nooky,ROG HOUNGOUNGAGNE,21,25
SoaR,Ghost Academy,SoaR,24,28
eXtatus,eXtatus,GX,16,11
ROG strike,ROG IzakOOO,ROG strike,16,9
ROG IzakOOO,ROG IzakOOO,ROG strike,19,17
AGO,Space Soldiers,AGO,11,16
SoaR,SoaR,eXtatus,9,16
Chiefs,Chiefs,Rise Nation,19,17
Ghost Academy,GX,Ghost Academy,13,16
ROAR,ROAR,Red Wolf,8,16
ROAR,ROAR,Red Wolf,5,16
MVP PK,ViCi,MVP PK,12,16
MVP PK,MVP PK,ViCi,6,16
ViCi,ViCi,MVP PK,9,16
New4,New4,ViCi,9,16
New4,ViCi,New4,13,16
ViCi,New4,ViCi,13,16
Chiefs,Chiefs,Space Soldiers,9,16
ROG Pimp,ROG friberg,ROG Pimp,16,5
ROG friberg,ROG Pimp,ROG friberg,14,16
Ghost Academy,SoaR,Ghost Academy,19,22
eXtatus,eXtatus,Space Soldiers,16,12
eXtatus,eXtatus,Space Soldiers,9,16
Space Soldiers,Space Soldiers,eXtatus,16,13
ROG HOUNGOUNGAGNE,ROG HOUNGOUNGAGNE,ROG IzakOOO,6,16
ROG IzakOOO,ROG IzakOOO,ROG HOUNGOUNGAGNE,16,13
Ghost Academy,AGO,Ghost Academy,16,2
Ghost Academy,Ghost Academy,AGO,5,16
Legacy,Zer0 Expectations,Legacy,11,16
Masterminds,Athletico,Masterminds,16,7
Athletico,Legacy,Athletico,16,19
Athletico,Legacy,Athletico,12,16
XCN,MVP PK,XCN,16,2
Ardeont,Ardeont,Lucid Dream,16,12
AGO,AGO,Space Soldiers,22,18
AGO,Space Soldiers,AGO,12,16
Swole Patrol,Blackwoodproductions,Swole Patrol,12,16
Blackwoodproductions,Swole Patrol,Blackwoodproductions,16,3
RONIN,Etherian,RONIN,16,6
RONIN,RONIN,Etherian,6,16
Natus Vincere,Space Soldiers,Natus Vincere,10,16
Space Soldiers,Natus Vincere,Space Soldiers,14,16
Space Soldiers,Natus Vincere,Space Soldiers,16,8
ROG IzakOOO,ROG friberg,ROG IzakOOO,13,16
ROG friberg,ROG friberg,ROG IzakOOO,19,16
ROG IzakOOO,ROG IzakOOO,ROG friberg,5,16
Blackwoodproductions,Blackwoodproductions,RONIN,22,18
Etherian,Swole Patrol,Etherian,16,6
Etherian,Swole Patrol,Etherian,16,9
Ghost,Ghost,Rise Nation,16,13
Rise Nation,Rise Nation,Ghost,16,14
Rise Nation,Rise Nation,Ghost,6,16
Blackwoodproductions,Etherian,Blackwoodproductions,16,7
GX,Rogue,GX,16,6
GX,GX,Rogue,9,16
Swole Patrol,Swole Patrol,Etherian,8,16
Etherian,Swole Patrol,Etherian,16,6
Etherian,Swole Patrol,Etherian,11,16
Swole Patrol,Swole Patrol,Etherian,16,14
Ardeont,Ardeont,MVP PK,2,16
MVP PK,Ardeont,MVP PK,12,16
Red Wolf,ViCi,Red Wolf,16,2
Red Wolf,ViCi,Red Wolf,10,16
ViCi,ViCi,Red Wolf,19,16
MVP PK,MVP PK,ViCi,16,10
MVP PK,MVP PK,ViCi,16,11
Rise Nation,Rise Nation,GX,16,14
Rise Nation,GX,Rise Nation,10,16
ALTERNATE aTTaX,LANg0ds,ALTERNATE aTTaX,11,16
LANg0ds,ALTERNATE aTTaX,LANg0ds,16,7
Ghost,Rogue,Ghost,11,16
Rogue,Ghost,Rogue,16,7
Rogue,Rogue,Rise Nation,19,17
Rogue,Rise Nation,Rogue,12,16
Tricked,Red Reserve,Tricked,16,4
Red Reserve,Red Reserve,Tricked,16,13
North Academy,ALTERNATE aTTaX,North Academy,11,16
North Academy,North Academy,ALTERNATE aTTaX,2,16
ALTERNATE aTTaX,ALTERNATE aTTaX,North Academy,9,16
Reason,Reason,Movistar Riders,19,17
Movistar Riders,Movistar Riders,Reason,19,16
Movistar Riders,Reason,Movistar Riders,16,7
Singularity,Singularity,aAa,6,16
aAa,aAa,Singularity,19,16
Fire Dragoon,Fire Dragoon,MVP PK,7,16
New4,New4,Control,16,11
LEOPARD,Wolfhound,LEOPARD,1,16
ORDER,ORDER,Portal,25,21
LEOPARD,New4,LEOPARD,16,2
Fire Dragoon,Portal,Fire Dragoon,17,19
Parallax,Parallax,Control,22,19
Chosen5,ORDER,Chosen5,16,9
Wolfhound,Parallax,Wolfhound,16,2
Control,LEOPARD,Control,16,2
MVP PK,MVP PK,Chosen5,16,10
Fire Dragoon,ORDER,Fire Dragoon,16,6
LEOPARD,Parallax,LEOPARD,16,8
Wolfhound,Wolfhound,New4,2,16
Fire Dragoon,Fire Dragoon,Chosen5,5,16
Parallax,New4,Parallax,19,22
Portal,MVP PK,Portal,16,3
Wolfhound,Wolfhound,Control,5,16
Powar Rangirls,Asterisk fe,Powar Rangirls,11,16
Powar Rangirls,Powar Rangirls,Asterisk fe,9,16
Powar Rangirls,Powar Rangirls,Asterisk fe,3,16
Chosen5,Portal,Chosen5,17,19
LeetPro fe,No IdeA,LeetPro fe,16,7
No IdeA,LeetPro fe,No IdeA,12,16
AnticlockwiSe,AnticlockwiSe,K23 fe,8,16
K23 fe,K23 fe,AnticlockwiSe,16,12
MVP PK,MVP PK,ORDER,16,13
Kings fe,Kings fe,Etab,16,11
Etab,Kings fe,Etab,12,16
Etab,Kings fe,Etab,10,16
Tricked,Tricked,aAa,16,11
Tricked,Tricked,aAa,19,17
Reason,ALTERNATE aTTaX,Reason,11,16
ALTERNATE aTTaX,Reason,ALTERNATE aTTaX,11,16
ALTERNATE aTTaX,ALTERNATE aTTaX,Reason,16,12
No IdeA,No IdeA,Etab,5,16
No IdeA,Etab,No IdeA,16,8
BOOT-d S ,GameTV,BOOT-d S ,14,16
Recca,EMC,Recca,10,16
Asterisk fe,K23 fe,Asterisk fe,12,16
Asterisk fe,Asterisk fe,K23 fe,19,17
UTM,UTM,MAX,16,11
EMC,MAX,EMC,16,8
Recca,Recca,Mineski,16,14
GameTV,GameTV,SCARZ Absolute,5,16
MAX,Recca,MAX,11,16
UTM,UTM,Mineski,19,17
No IdeA,K23 fe,No IdeA,12,16
No IdeA,No IdeA,K23 fe,5,16
No IdeA,K23 fe,No IdeA,16,6
BOOT-d S ,NSPR,BOOT-d S ,14,16
GameTV,NSPR,GameTV,16,7
BOOT-d S ,BOOT-d S ,SCARZ Absolute,16,11
EMC,EMC,Mineski,16,14
UTM,Recca,UTM,16,2
