Winner,Team1,Team2,Team1_Score,Team2_Score,Map
x-kom,PACT,x-kom,11,16,Inferno
PACT,x-kom,PACT,16,9,Mirage
Endpoint,London,Endpoint,14,16,Overpass
Endpoint,Endpoint,London,8,16,Inferno
Endpoint,London,Endpoint,16,7,Mirage
expert,expert,AGO,6,16,Inferno
AGO,AGO,expert,16,13,Train
HAVU,HAVU,ALTERNATE aTTaX,4,16,Cache
ALTERNATE aTTaX,ALTERNATE aTTaX,HAVU,9,16,Train
Vega Squadron,ViCi,Vega Squadron,16,19,Inferno
expert,expert,3DMAX,16,10,Inferno
expert,3DMAX,expert,16,3,Cache
Chaos,x-kom,Chaos,11,16,Inferno
Spirit,Spirit,Bpro,16,11,Inferno
Tricked,Tricked,Izako Boars,6,16,Dust2
EURONICS,EURONICS,unknown,19,17,Nuke
PACT,PACT,forZe,7,16,Mirage
PACT,forZe,PACT,16,9,Overpass
Spirit,Bpro,Spirit,10,16,Cache
Tricked,Izako Boars,Tricked,17,19,Train
Tricked,Tricked,Izako Boars,9,16,Cache
unknown,unknown,EURONICS,22,18,Inferno
EURONICS,unknown,EURONICS,14,16,Overpass
x6tence Galaxy,x6tence Galaxy,HAVU,5,16,Dust2
x6tence Galaxy,HAVU,x6tence Galaxy,13,16,Inferno
HAVU,x6tence Galaxy,HAVU,16,5,Nuke
ALTERNATE aTTaX,AGO,ALTERNATE aTTaX,16,6,Overpass
AGO,ALTERNATE aTTaX,AGO,16,3,Inferno
Vitality,Valiance,Vitality,20,22,Inferno
Vitality,Vitality,Valiance,16,11,Mirage
Spirit,Spirit,x6tence Galaxy,16,10,Overpass
x6tence Galaxy,x6tence Galaxy,Spirit,16,14,Cache
x6tence Galaxy,Spirit,x6tence Galaxy,16,3,Mirage
Bpro,HAVU,Bpro,16,9,Train
Bpro,Bpro,HAVU,4,16,Dust2
Tricked,Tricked,PACT,19,17,Cache
PACT,PACT,Tricked,9,16,Inferno
forZe,forZe,Izako Boars,5,16,Dust2
Izako Boars,Izako Boars,forZe,2,16,Mirage
Izako Boars,forZe,Izako Boars,16,5,Inferno
EURONICS,EURONICS,Endpoint,19,17,Overpass
Endpoint,Endpoint,EURONICS,2,16,Dust2
SJ,3DMAX,SJ,16,6,Inferno
Vega Squadron,3DMAX,Vega Squadron,16,3,Mirage
Vega Squadron,Vega Squadron,3DMAX,6,16,Inferno
ViCi,SJ,ViCi,16,8,Overpass
SJ,ViCi,SJ,10,16,Train
Valiance,Valiance,Tricked,16,10,Overpass
Tricked,Tricked,Valiance,4,16,Cache
Endpoint,HAVU,Endpoint,16,7,Mirage
HAVU,Endpoint,HAVU,16,7,Dust2
HAVU,Endpoint,HAVU,16,5,Cache
unknown,x6tence Galaxy,unknown,16,3,Cache
