Team1,Team1_Status,Team2,Team2_Status,Date,Map,Event
Under 21,l,Recon 5,w,21-5-20,Nuke,ESEA MDL Season 34 North America
New England Whalers,w,Polar Ace,l,21-5-20,Overpass,ESEA MDL Season 34 North America
"[""Buffdaddys Paypal""",l,Keep the Comms Up,w,21-5-20,Mirage,ESEA MDL Season 34 North America
Way 2 French,l,Chaos,w,21-5-20,Inferno,ESEA MDL Season 34 North America
Swedish Canadians,w,AA,l,21-5-20,Mirage,ESEA MDL Season 34 North America
Morning Light,w,Keep the Comms Up,l,21-5-20,Mirage,ESEA MDL Season 34 North America
RBG,w,Under 21,l,21-5-20,Inferno,WINNERS League Season 4 North America
Chaos,w,"""Buffdaddys Paypal""",l,21-5-20,Overpass,ESEA MDL Season 34 North America
FURIA,w,MIBR,l,20-5-20,Train,DreamHack Masters Spring 2020 - North America
FURIA,w,MIBR,l,20-5-20,Train,DreamHack Masters Spring 2020 - North America
Apeks,l,Spirit,w,20-5-20,Train,Home Sweet Home Cup 5
Apeks,l,Spirit,w,20-5-20,Train,Home Sweet Home Cup 5
Izako Boars,w,CLEANTmix,l,20-5-20,Train,WINNERS League Season 4 Europe
Endpoint,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
Endpoint,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
CR4ZY,w,BIG Academy,l,20-5-20,Nuke,WINNERS League Season 4 Europe
Tricked,w,SKADE,l,20-5-20,Inferno,SECTOR: MOSTBET Season 3
Tricked,w,SKADE,l,20-5-20,Inferno,SECTOR: MOSTBET Season 3
North,l,Astralis,w,20-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
North,l,Astralis,w,20-5-20,Inferno,DreamHack Masters Spring 2020 - Europe
pro100,l,Nemiga,w,20-5-20,Inferno,ESEA MDL Season 34 Europe
Apeks,w,AVEZ,l,20-5-20,Dust2,Home Sweet Home Cup 5
Apeks,w,AVEZ,l,20-5-20,Dust2,Home Sweet Home Cup 5
Apeks,l,AVEZ,w,20-5-20,Dust2,Home Sweet Home Cup 5
ALTERNATE aTTaX,w,Sprout,l,20-5-20,Inferno,ESEA MDL Season 34 Europe
LDLC,l,SG.pro,w,20-5-20,Train,Hellcase Cup 8
LDLC,l,SG.pro,w,20-5-20,Train,Hellcase Cup 8
LDLC,w,SG.pro,l,20-5-20,Train,Hellcase Cup 8
pro100,l,PACT,w,20-5-20,Train,ESEA MDL Season 34 Europe
Tricked,l,Hard Legion,w,20-5-20,Train,SECTOR: MOSTBET Season 3
Tricked,l,Hard Legion,w,20-5-20,Train,SECTOR: MOSTBET Season 3
Tricked,w,Hard Legion,l,20-5-20,Train,SECTOR: MOSTBET Season 3
G2,w,Heroic,l,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
G2,w,Heroic,l,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
G2,l,Heroic,w,20-5-20,Mirage,DreamHack Masters Spring 2020 - Europe
Spirit,l,Secret,w,20-5-20,Nuke,Home Sweet Home Cup 5
Spirit,l,Secret,w,20-5-20,Nuke,Home Sweet Home Cup 5
Spirit,w,Secret,l,20-5-20,Nuke,Home Sweet Home Cup 5
Justice,w,PC419,l,20-5-20,Train,ESEA MDL Season 34 Australia
AVEZ,l,Spirit,w,20-5-20,Nuke,Home Sweet Home Cup 5
Rooster,w,Bantz,l,20-5-20,Nuke,ESEA MDL Season 34 Australia
Apeks,l,Secret,w,20-5-20,Mirage,Home Sweet Home Cup 5
Swedish Canadians,w,Polar Ace,l,20-5-20,Overpass,ESEA MDL Season 34 North America
Infinity,l,Under 21,w,20-5-20,Dust2,ESEA MDL Season 34 North America
Warriors International,w,Big Frames,l,20-5-20,Mirage,ESEA MDL Season 34 North America
AA,w,Way 2 French,l,20-5-20,Mirage,ESEA MDL Season 34 North America
New England Whalers,w,Warriors International,l,20-5-20,Overpass,ESEA MDL Season 34 North America
Big Frames,w,Keep the Comms Up,l,20-5-20,Mirage,ESEA MDL Season 34 North America
Morning Light,w,Infinity,l,20-5-20,Overpass,WINNERS League Season 4 North America
Rugratz,l,blood,w,20-5-20,Inferno,ESEA MDL Season 34 North America
TeamOne,l,Recon 5,w,20-5-20,Inferno,WINNERS League Season 4 North America
Chaos,w,Liquid,l,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Chaos,w,Liquid,l,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Chaos,l,Liquid,w,19-5-20,Overpass,DreamHack Masters Spring 2020 - North America
Heretics,l,ALTERNATE aTTaX,w,19-5-20,Overpass,BLAST Rising 2020
