Team1                     ,Team1_Status,Team2                        ,Team2_Status,Date    ,Map        ,Event
KOVA                      ,l           ,LDLC                         ,w           ,11-5-20 ,Dust2      ,Home Sweet Home Cup 5 Closed Qualifier
FATE                      ,w           ,Singularity                  ,l           ,11-5-20 ,Inferno    ,Home Sweet Home Cup 5 Closed Qualifier
HellRaisers               ,l           ,Secret                       ,w           ,11-5-20 ,Train      ,Home Sweet Home Cup 5 Closed Qualifier
HellRaisers               ,l           ,Secret                       ,w           ,11-5-20 ,Train      ,Home Sweet Home Cup 5 Closed Qualifier
HellRaisers               ,w           ,Secret                       ,l           ,11-5-20 ,Train      ,Home Sweet Home Cup 5 Closed Qualifier
AVEZ                      ,w           ,Mustang Crew                 ,l           ,11-5-20 ,Overpass   ,Home Sweet Home Cup 5 Closed Qualifier
AVEZ                      ,w           ,Mustang Crew                 ,l           ,11-5-20 ,Overpass   ,Home Sweet Home Cup 5 Closed Qualifier
Swedish Canadians         ,w           ,Under 21                     ,l           ,11-5-20 ,Nuke       ,Mythic Cup 6
Swedish Canadians         ,w           ,Under 21                     ,l           ,11-5-20 ,Nuke       ,Mythic Cup 6
Swedish Canadians         ,w           ,New England Whalers          ,l           ,11-5-20 ,Overpass   ,Mythic Cup 6
Swedish Canadians         ,w           ,New England Whalers          ,l           ,11-5-20 ,Overpass   ,Mythic Cup 6
Recon 5                   ,l           ,Under 21                     ,w           ,11-5-20 ,Inferno    ,Mythic Cup 6
Recon 5                   ,w           ,Under 21                     ,l           ,11-5-20 ,Inferno    ,Mythic Cup 6
Recon 5                   ,l           ,Under 21                     ,w           ,11-5-20 ,Inferno    ,Mythic Cup 6
Gen.G                     ,w           ,FURIA                        ,l           ,10-5-20 ,Inferno    ,ESL One: Road to Rio - North America
Gen.G                     ,l           ,FURIA                        ,w           ,10-5-20 ,Inferno    ,ESL One: Road to Rio - North America
Gen.G                     ,w           ,FURIA                        ,l           ,10-5-20 ,Inferno    ,ESL One: Road to Rio - North America
Yeah                      ,l           ,Recon 5                      ,w           ,10-5-20 ,Nuke       ,Mythic Cup 6
Yeah                      ,l           ,Recon 5                      ,w           ,10-5-20 ,Nuke       ,Mythic Cup 6
Cloud9                    ,w           ,Liquid                       ,l           ,10-5-20 ,Vertigo    ,ESL One: Road to Rio - North America
Cloud9                    ,w           ,Liquid                       ,l           ,10-5-20 ,Vertigo    ,ESL One: Road to Rio - North America
Cloud9                    ,l           ,Liquid                       ,w           ,10-5-20 ,Vertigo    ,ESL One: Road to Rio - North America
Swedish Canadians         ,w           ,Morning Light                ,l           ,10-5-20 ,Mirage     ,Mythic Cup 6
Swedish Canadians         ,w           ,Morning Light                ,l           ,10-5-20 ,Mirage     ,Mythic Cup 6
Swedish Canadians         ,l           ,Morning Light                ,w           ,10-5-20 ,Mirage     ,Mythic Cup 6
Polar Ace                 ,w           ,Under 21                     ,l           ,10-5-20 ,Nuke       ,Mythic Cup 6
Polar Ace                 ,w           ,Under 21                     ,l           ,10-5-20 ,Nuke       ,Mythic Cup 6
Big Frames                ,l           ,New England Whalers          ,w           ,10-5-20 ,Dust2      ,Mythic Cup 6
Big Frames                ,l           ,New England Whalers          ,w           ,10-5-20 ,Dust2      ,Mythic Cup 6
Complexity                ,w           ,BIG                          ,l           ,10-5-20 ,Dust2      ,Home Sweet Home Cup 3
Complexity                ,l           ,BIG                          ,w           ,10-5-20 ,Dust2      ,Home Sweet Home Cup 3
Complexity                ,w           ,BIG                          ,l           ,10-5-20 ,Dust2      ,Home Sweet Home Cup 3
North                     ,w           ,G2                           ,l           ,10-5-20 ,Nuke       ,ESL One: Road to Rio - Europe
